reason,game,date,player,market,book,line,details
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rudy Gobert",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rui Hachimura",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Davis",rebounds,draftkings,12.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Edwards",rebounds,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Austin Reaves",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"D'Angelo Russell",rebounds,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Donte DiVincenzo",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Gabe Vincent",rebounds,draftkings,0.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaden McDaniels",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaxson Hayes",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Julius Randle",rebounds,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"LeBron James",rebounds,draftkings,6.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Mike Conley",rebounds,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Naz Reid",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Nickeil Alexander-Walker",rebounds,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rudy Gobert",rebounds,draftkings,12.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rui Hachimura",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Davis",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Julius Randle",assists,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Austin Reaves",assists,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"LeBron James",assists,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Mike Conley",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"D'Angelo Russell",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Edwards",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Naz Reid",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Davis",rebounds,fanduel,11.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"LeBron James",rebounds,fanduel,6.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Edwards",rebounds,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaden McDaniels",rebounds,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rui Hachimura",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rudy Gobert",rebounds,fanduel,12.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Austin Reaves",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Julius Randle",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"D'Angelo Russell",rebounds,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Donte DiVincenzo",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Aaron Nesmith",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Andrew Nembhard",assists,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Bennedict Mathurin",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Cade Cunningham",assists,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jaden Ivey",assists,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jalen Duren",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Myles Turner",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Pascal Siakam",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"T.J. McConnell",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tobias Harris",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tyrese Haliburton",assists,draftkings,9.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Aaron Nesmith",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Andrew Nembhard",rebounds,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Bennedict Mathurin",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Cade Cunningham",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jaden Ivey",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jalen Duren",rebounds,draftkings,11.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Myles Turner",rebounds,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Pascal Siakam",rebounds,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"T.J. McConnell",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tobias Harris",rebounds,draftkings,6.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tyrese Haliburton",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jaden Ivey",assists,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Cade Cunningham",assists,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tobias Harris",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Andrew Nembhard",assists,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Pascal Siakam",assists,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jalen Duren",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tyrese Haliburton",assists,fanduel,9.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"T.J. McConnell",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"T.J. McConnell",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tobias Harris",rebounds,fanduel,6.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Cade Cunningham",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Pascal Siakam",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Tyrese Haliburton",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jaden Ivey",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Aaron Nesmith",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Myles Turner",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Jalen Duren",rebounds,fanduel,11.5,"{"gamesAvailable":0}"
insufficient_history,"Indiana Pacers @ Detroit Pistons",2024-10-22,"Bennedict Mathurin",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Bogdan Bogdanovic",assists,draftkings,2.5,"{"gamesAvailable":0}"
