experiment,date,season,game_id,home_team,away_team,actual_total,market_total_line,pred_residual,pred_total,edge,residual_error,abs_error,squared_error,train_games,skip_reason
baseline_lgbm_residual_v1,2024-10-25,2024_25,0022400084,UTA,GSW,213,232.66666666666666,,,,,,,16,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-25,2024_25,0022400085,LAL,PHX,239,223.5,,,,,,,16,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-25,2024_25,0022400078,TOR,PHI,222,219.5,,,,,,,16,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400091,CHI,OKC,209,232.0,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400088,CHA,MIA,220,223.5,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400090,WAS,CLE,251,229.0,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400087,DEN,LAC,213,219.5,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400089,DET,BOS,242,227.33333333333334,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400095,PHX,DAL,216,232.33333333333334,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400096,LAL,SAC,258,231.66666666666666,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400093,MIN,TOR,213,220.33333333333334,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400094,SAS,HOU,215,224.16666666666666,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-26,2024_25,0022400092,MEM,ORL,235,222.16666666666666,,,,,,,26,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-27,2024_25,0022400097,IND,PHI,232,228.66666666666666,,,,,,,36,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-27,2024_25,0022400098,BKN,MIL,217,231.5,,,,,,,36,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-27,2024_25,0022400099,POR,NOP,228,219.33333333333334,,,,,,,36,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-27,2024_25,0022400100,OKC,ATL,232,230.33333333333334,,,,,,,36,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-27,2024_25,0022400101,GSW,LAC,216,221.83333333333334,,,,,,,36,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400105,MIA,DET,204,219.33333333333334,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400107,TOR,DEN,252,220.5,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400102,ORL,IND,234,224.5,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400104,BOS,MIL,227,234.0,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400106,NYK,CLE,214,221.5,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400109,SAS,HOU,207,220.0,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400108,MEM,CHI,249,233.5,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400112,SAC,POR,209,227.66666666666666,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400111,PHX,LAL,214,227.5,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400103,ATL,WAS,240,233.33333333333334,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-28,2024_25,0022400110,DAL,UTA,212,233.33333333333334,,,,,,,41,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-29,2024_25,0022400116,GSW,NOP,230,217.66666666666666,,,,,,,52,insufficient_training_data
baseline_lgbm_residual_v1,2024-10-29,2024_25,0022400115,UTA,SAC,209,235.33333333333334,,,,,,,52,insufficient_training_data
