market,threshold,model,train_years,test_year,n_train,n_test,base_rate,auc,brier_model,brier_naive,brier_improvement,logloss_model,logloss_naive,logloss_improvement,cal_slope,cal_intercept,ece,is_monotonic,p_model_min,p_model_max,p_model_mean,p_model_std
F5_Totals,over_5.5,LightGBM,2022-2023,2024,4860,2430,0.3774,0.5465,0.239398,0.234961,-0.004437,0.6728,0.6628,-0.01,0.3231,-0.3522,0.0611,True,0.091843,0.784842,0.390858,0.112361
F5_Totals,over_5.5,LogReg,2022-2023-2024,2025,7290,2430,0.3798,0.5685,0.233772,0.23556,0.001788,0.6605,0.664,0.0035,0.5899,-0.1871,0.0276,False,0.096637,0.732582,0.376135,0.091934
F5_Totals,over_5.5,LightGBM,2022-2023-2024,2025,7290,2430,0.3798,0.5538,0.236938,0.23556,-0.001377,0.6681,0.664,-0.0041,0.4102,-0.2643,0.0432,True,0.095784,0.75457,0.369285,0.100957
F5_TeamTotals_home,over_1.5,LogReg,2022,2023,2430,2430,0.6078,0.518,0.262599,0.238375,-0.024224,0.7324,0.6697,-0.0627,0.0603,0.4227,0.1338,True,0.0,0.999999,0.558396,0.162985
F5_TeamTotals_home,over_1.5,LightGBM,2022,2023,2430,2430,0.6078,0.5153,0.255986,0.238375,-0.017611,0.7099,0.6697,-0.0402,0.1007,0.3991,0.1152,True,0.145864,0.948819,0.587939,0.146565
F5_TeamTotals_home,over_1.5,LogReg,2022-2023,2024,4860,2430,0.5918,0.5415,0.24733,0.241578,-0.005752,0.6922,0.6762,-0.016,0.2759,0.219,0.068,True,0.080247,0.995905,0.628851,0.111661
F5_TeamTotals_home,over_1.5,LightGBM,2022-2023,2024,4860,2430,0.5918,0.5404,0.247983,0.241578,-0.006404,0.692,0.6762,-0.0158,0.2642,0.2455,0.0727,True,0.206198,0.909005,0.611716,0.118611
F5_TeamTotals_home,over_1.5,LogReg,2022-2023-2024,2025,7290,2430,0.6029,0.5395,0.243239,0.239416,-0.003823,0.6815,0.6718,-0.0097,0.2906,0.2756,0.059,True,0.013132,0.993251,0.616015,0.100165
F5_TeamTotals_home,over_1.5,LightGBM,2022-2023-2024,2025,7290,2430,0.6029,0.5279,0.2449,0.239416,-0.005485,0.6845,0.6718,-0.0127,0.2384,0.3103,0.0706,True,0.2027,0.900075,0.606798,0.104795
F5_TeamTotals_home,over_2.0,LogReg,2022,2023,2430,2430,0.4506,0.5249,0.272651,0.247561,-0.025089,0.7563,0.6883,-0.068,0.1124,-0.1274,0.1377,True,0.000124,1.0,0.362032,0.154058
