game_id,date,season,home_team,away_team,actual_total,actual_margin,consensus_total_line,fanduel_total_line,draftkings_total_line,betmgm_total_line,closing_spread,target_under_win,target_over_win,target_residual,home_l5_ortg,home_l5_drtg,home_l5_pace,home_l5_efg,home_l5_tov_pct,home_l5_orb_pct,home_l5_ft_rate,away_l5_ortg,away_l5_drtg,away_l5_pace,away_l5_efg,away_l5_tov_pct,away_l5_orb_pct,away_l5_ft_rate,home_l10_ortg,home_l10_drtg,home_l10_pace,away_l10_ortg,away_l10_drtg,away_l10_pace,home_season_ortg,home_season_drtg,home_season_pace,home_season_ft_rate,home_season_tov_pct,home_season_orb_pct,away_season_ortg,away_season_drtg,away_season_pace,away_season_ft_rate,away_season_tov_pct,away_season_orb_pct,ortg_diff,drtg_diff,home_ortg_vs_away_drtg,away_ortg_vs_home_drtg,home_rest_days,away_rest_days,home_b2b,away_b2b,home_3in4,away_3in4,home_4in6,away_4in6,home_court,spread_abs,spread_squared,blowout_risk_index,close_game_flag,blowout_flag,pace_elasticity,pace_diff,home_pace_suppression_proxy,away_pace_suppression_proxy,home_def_suppression_proxy,away_def_suppression_proxy,combined_def_strength,home_opp_efg_allowed,away_opp_efg_allowed,utc_start_hour,early_game_flag,day_of_week,weekend_flag,rest_advantage,both_teams_rested
0022200621,2023-01-11,2022_23,BOS,NOP,239,11,,,,,,,,,115.02614685509157,114.96132675615736,100.98342571309703,0.538247813892097,11.319943991022157,21.561720135519288,0.2925036336923814,116.63040639550722,115.47453126785054,99.54210431789912,0.5313350868616806,12.31676110365722,29.51242654687142,0.3039989475024139,115.02614685509157,114.96132675615736,100.98342571309703,116.63040639550722,115.47453126785054,99.54210431789912,115.02614685509157,114.96132675615736,100.98342571309703,0.2925036336923814,11.319943991022157,21.561720135519288,116.63040639550722,115.47453126785054,99.54210431789912,0.3039989475024139,12.31676110365722,29.51242654687142,-1.6042595404156543,-0.5132045116931749,-0.4483844127589691,1.6690796393498601,2,2,0,0,1,1,1,1,1,,,,,,0.2627650154980756,1.4413213951979174,0.0038673243842637815,0.0,0.3359115495895092,0.3016979154766309,0.31880473253307007,,,0,1,2,0,0,1
0022200624,2023-01-11,2022_23,DEN,PHX,223,29,,,,,,,,,122.22932563738361,110.96989140770202,98.23377563196348,0.5919338768625263,13.47916100295328,26.10003738250103,0.22785023324538806,101.50864571511006,108.46721835832784,96.10046862059116,0.4826856709727469,13.68931935848446,20.354911633471563,0.21659137330289555,122.22932563738361,110.96989140770202,98.23377563196348,101.50864571511006,108.46721835832784,96.10046862059116,122.22932563738361,110.96989140770202,98.23377563196348,0.22785023324538806,13.47916100295328,26.10003738250103,101.50864571511006,108.46721835832784,96.10046862059116,0.21659137330289555,13.68931935848446,20.354911633471563,20.720679922273547,2.502673049374181,13.762107279055769,-9.461245692591959,2,1,0,1,0,1,1,1,1,,,,,,-2.83287787372268,2.133307011372324,0.4030108592297978,0.6532781641672158,0.6020072394865319,0.7688521094448106,0.6854296744656713,,,0,1,2,0,1,0
0022200623,2023-01-11,2022_23,MEM,SAS,264,6,,,,,,,,,118.2170861686152,107.73419535680573,104.21551503931076,0.5448567442062572,10.438951432763854,27.461872609177902,0.29678373608035685,109.75250431720238,117.27912903842362,103.44196405876055,0.537544072863409,13.821034877087547,24.528463110601162,0.22571525779404417,118.2170861686152,107.73419535680573,104.21551503931076,109.75250431720238,117.27912903842362,103.44196405876055,118.2170861686152,107.73419535680573,104.21551503931076,0.29678373608035685,10.438951432763854,27.461872609177902,109.75250431720238,117.27912903842362,103.44196405876055,0.22571525779404417,13.821034877087547,24.528463110601162,8.464581851412817,-9.544933681617891,0.9379571301915774,2.018308960396652,2,2,0,0,1,1,1,1,1,,,,,,3.828739549035646,0.7735509805502119,0.7265804643194272,0.0,0.8177203095462848,0.1813913974384254,0.4995558534923551,,,0,1,2,0,0,1
0022200631,2023-01-12,2022_23,POR,CLE,232,-6,,,,,,,,,108.48842813203962,109.42259810600186,101.44771387791624,0.5261419782030277,16.462729768220346,25.632458500193017,0.37255012807146265,116.43174800003985,114.35731690328794,97.347426858028,0.550151273846926,9.625182774616489,19.709827578148012,0.32721669634713113,108.48842813203962,109.42259810600186,101.44771387791624,116.43174800003985,114.35731690328794,97.347426858028,108.48842813203962,109.42259810600186,101.44771387791624,0.37255012807146265,16.462729768220346,25.632458500193017,116.43174800003985,114.35731690328794,97.347426858028,0.32721669634713113,9.625182774616489,19.709827578148012,-7.943319868000231,-4.934718797286081,-5.868888771248322,7.009149894037989,2,2,0,0,1,1,1,1,1,,,,,,-0.6024296320278779,4.100287019888242,0.5577401893998143,0.06426830967120623,0.7051601262665429,0.3761788731141375,0.5406694996903402,,,0,1,3,0,0,1
0022200630,2023-01-12,2022_23,LAL,DAL,234,-4,,,,,,,,,115.75027160705233,113.19859986192853,105.19522006179594,0.5727516002758594,13.95056340857538,22.70069277047099,0.30725005099513364,112.4715233231966,120.32982705634454,96.46089099804968,0.5228718295424668,11.626499719718367,15.87594098942672,0.46162519477985037,115.75027160705233,113.19859986192853,105.19522006179594,112.4715233231966,120.32982705634454,96.46089099804968,115.75027160705233,113.19859986192853,105.19522006179594,0.30725005099513364,13.95056340857538,22.70069277047099,112.4715233231966,120.32982705634454,96.46089099804968,0.46162519477985037,11.626499719718367,15.87594098942672,3.2787482838557196,-7.131227194416013,-4.579555449292215,-0.7270765387319216,3,2,0,0,0,1,1,1,1,,,,,,0.828055529922807,8.734329063746259,0.18014001380714717,0.0,0.45342667587143143,0.0,0.22671333793571571,,,0,1,3,0,1,1
0022200628,2023-01-12,2022_23,MIA,MIL,210,6,,,,,,,,,111.26290211949149,108.05601057561539,96.406532583001,0.4927080923033408,12.350331455803007,26.36604194896524,0.3183906385622036,111.54235562725444,112.19957660208415,101.2091674242225,0.5324157894005406,13.84763581578152,28.402305220216242,0.22222309311875926,111.26290211949149,108.05601057561539,96.406532583001,108.2924757985755,112.5541788268444,101.54306334061691,111.26290211949149,108.05601057561539,96.406532583001,0.3183906385622036,12.350331455803007,26.36604194896524,108.2924757985755,112.5541788268444,101.54306334061691,0.21122757759896604,13.78815070089719,27.827827136870635,-0.27945350776295186,-4.143566026468761,-0.9366744825926645,3.4863450516390486,2,1,0,1,1,1,1,1,1,,,,,,-1.1921499963882525,-4.802634841221504,0.6943989424384611,0.280042339791585,0.7962659616256408,0.5200282265277233,0.658147094076682,,,0,1,3,0,1,0
0022200626,2023-01-12,2022_23,PHI,OKC,247,-19,,,,,,,,,124.09599934815147,116.72819038756663,101.51982860976236,0.5748396680176828,10.515279831085032,25.985707147959847,0.2654965735858942,123.72442429919008,114.33255789454113,100.53268410914043,0.5719831650988194,10.13668758502668,26.296037642102085,0.23139141841515753,124.09599934815147,116.72819038756663,101.51982860976236,123.72442429919008,114.33255789454113,100.53268410914043,124.09599934815147,116.72819038756663,101.51982860976236,0.2654965735858942,10.515279831085032,25.985707147959847,123.72442429919008,114.33255789454113,100.53268410914043,0.23139141841515753,10.13668758502668,26.296037642102085,0.3715750489613896,2.395632493025502,9.76344145361034,6.996233911623449,2,2,0,0,1,1,1,1,1,,,,,,1.026256359451395,0.9871445006219233,0.0,0.06674421054588749,0.21812064082889152,0.37782947369725833,0.29797505726307494,,,0,1,3,0,0,1
0022200629,2023-01-12,2022_23,TOR,CHA,238,10,,,,,,,,,115.81055411788039,113.90219973090775,99.73174350214678,0.4971339317101677,8.32569339692465,27.238715395482267,0.29244648164465364,115.3040171423963,118.47917451342201,103.15353618745974,0.5438409632986241,10.267157253200319,21.027685878127688,0.24693168043973673,115.81055411788039,113.90219973090775,99.73174350214678,115.3040171423963,118.47917451342201,103.15353618745974,115.81055411788039,113.90219973090775,99.73174350214678,0.29244648164465364,8.32569339692465,27.238715395482267,115.3040171423963,118.47917451342201,103.15353618745974,0.24693168043973673,10.267157253200319,21.027685878127688,0.5065369754840816,-4.576974782514256,-2.6686203955416232,1.401817411488551,2,2,0,0,1,1,1,1,1,,,,,,1.4426398448032671,-3.421792685312951,0.10978002690922466,0.0,0.4065200179394831,0.10138836577186604,0.2539541918556746,,,0,1,3,0,0,1
0022200633,2023-01-13,2022_23,IND,ATL,224,-2,,,,,,,,,115.10814942444294,112.55399685690084,101.78675045576844,0.5259451976251344,11.968198202446981,22.350493717565538,0.2998462228987374,112.08576888770213,115.74986851833815,105.68148323034033,0.5375927543696086,10.648795795118506,15.433555789506519,0.23774842545814434,115.10814942444294,112.55399685690084,101.78675045576844,112.08576888770213,115.74986851833815,105.68148323034033,115.10814942444294,112.55399685690084,101.78675045576844,0.2998462228987374,11.968198202446981,22.350493717565538,112.08576888770213,115.74986851833815,105.68148323034033,0.23774842545814434,10.648795795118506,15.433555789506519,3.022380536740812,-3.195871661437309,-0.6417190938952047,-0.4682279691987077,2,2,0,0,0,0,0,0,1,,,,,,3.7341168430543803,-3.8947327745718923,0.2446003143099162,0.0,0.4964002095399441,0.28334209877745686,0.3898711541587005,,,0,1,4,0,0,1
0022200632,2023-01-13,2022_23,DET,NOP,226,-6,,,,,,,,,116.09300101784106,122.45047165048666,102.42069291281727,0.5698930452769266,13.441312264948143,21.869905806454895,0.2788373265342682,117.50756347718902,116.78347663494802,99.31615710893672,0.534331802789431,10.959688505131453,26.11923120672978,0.2954603596534812,112.7977537043239,122.48766476134837,103.69192751383679,116.69579079046166,117.61450572855121,99.18791797269598,112.7977537043239,122.48766476134837,103.69192751383679,0.31569777211189015,14.092699634757954,21.409634881175254,116.69579079046166,117.61450572855121,99.18791797269598,0.28589950606044073,11.713523056036989,26.140479198958975,-1.4145624593479624,5.666995015538646,-0.690475617106955,-4.9429081732976385,2,2,0,0,1,1,1,1,1,,,,,,0.8684250108769902,3.1045358038805517,0.0,0.0,0.0,0.21443489100346558,0.10721744550173279,,,0,1,4,0,0,1
