season,game_id,date,home_team,away_team,home_score,away_score,actual_total,actual_spread,consensus_total_line,fanduel_total_line,draftkings_total_line,betmgm_total_line,target_residual,home_l5_ortg,away_l5_ortg,home_l5_drtg,away_l5_drtg,home_l5_pace,away_l5_pace,home_l5_efg,away_l5_efg,home_l5_tov_pct,away_l5_tov_pct,home_l5_orb_pct,away_l5_orb_pct,home_l5_ft_rate,away_l5_ft_rate,home_l10_ortg,away_l10_ortg,home_l10_drtg,away_l10_drtg,home_l10_pace,away_l10_pace,home_l10_efg,away_l10_efg,home_l10_tov_pct,away_l10_tov_pct,home_l10_orb_pct,away_l10_orb_pct,home_l10_ft_rate,away_l10_ft_rate,home_season_ortg,away_season_ortg,home_season_drtg,away_season_drtg,home_season_pace,away_season_pace,home_season_efg,away_season_efg,home_season_tov_pct,away_season_tov_pct,home_season_orb_pct,away_season_orb_pct,home_season_ft_rate,away_season_ft_rate,home_l10_net_rtg,away_l10_net_rtg,home_rest_days,away_rest_days,home_b2b,away_b2b,home_three_in_four,away_three_in_four,home_four_in_six,away_four_in_six,pace_diff,home_ortg_vs_away_drtg,away_ortg_vs_home_drtg,ortg_diff,drtg_diff,net_rtg_diff,efg_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,home_court
2022_23,0022200621,2023-01-11,BOS,NOP,125,114,239,11,,,,,,115.02614685509157,116.63040639550722,114.96132675615736,115.47453126785054,100.98342571309703,99.54210431789912,0.538247813892097,0.5313350868616806,11.319943991022157,12.31676110365722,21.561720135519288,29.51242654687142,0.2925036336923814,0.3039989475024139,115.02614685509157,116.63040639550722,114.96132675615736,115.47453126785054,100.98342571309703,99.54210431789912,0.538247813892097,0.5313350868616806,11.319943991022157,12.31676110365722,21.561720135519288,29.51242654687142,0.2925036336923814,0.3039989475024139,115.02614685509157,116.63040639550722,114.96132675615736,115.47453126785054,100.98342571309703,99.54210431789912,0.538247813892097,0.5313350868616806,11.319943991022157,12.31676110365722,21.561720135519288,29.51242654687142,0.2925036336923814,0.3039989475024139,0.06482009893420582,1.1558751276566852,2,2,0,0,1,1,1,1,1.4413213951979174,-0.4483844127589691,1.6690796393498601,-1.6042595404156543,-0.5132045116931749,-1.0910550287224794,0.0069127270304163435,0.9968171126350622,-7.950706411352133,-0.011495313810032493,1.0
2022_23,0022200623,2023-01-11,MEM,SAS,135,129,264,6,,,,,,118.2170861686152,109.75250431720238,107.73419535680573,117.27912903842362,104.21551503931076,103.44196405876055,0.5448567442062572,0.537544072863409,10.438951432763854,13.821034877087547,27.461872609177902,24.528463110601162,0.29678373608035685,0.22571525779404417,118.2170861686152,109.75250431720238,107.73419535680573,117.27912903842362,104.21551503931076,103.44196405876055,0.5448567442062572,0.537544072863409,10.438951432763854,13.821034877087547,27.461872609177902,24.528463110601162,0.29678373608035685,0.22571525779404417,118.2170861686152,109.75250431720238,107.73419535680573,117.27912903842362,104.21551503931076,103.44196405876055,0.5448567442062572,0.537544072863409,10.438951432763854,13.821034877087547,27.461872609177902,24.528463110601162,0.29678373608035685,0.22571525779404417,10.482890811809469,-7.526624721221239,2,2,0,0,1,1,1,1,0.7735509805502119,0.9379571301915774,2.018308960396652,8.464581851412817,-9.544933681617891,18.009515533030708,0.007312671342848187,3.3820834443236922,2.93340949857674,0.07106847828631269,1.0
2022_23,0022200624,2023-01-11,DEN,PHX,126,97,223,29,,,,,,122.22932563738361,101.50864571511006,110.96989140770202,108.46721835832784,98.23377563196348,96.10046862059116,0.5919338768625263,0.4826856709727469,13.47916100295328,13.68931935848446,26.10003738250103,20.354911633471563,0.22785023324538806,0.21659137330289555,122.22932563738361,101.50864571511006,110.96989140770202,108.46721835832784,98.23377563196348,96.10046862059116,0.5919338768625263,0.4826856709727469,13.47916100295328,13.68931935848446,26.10003738250103,20.354911633471563,0.22785023324538806,0.21659137330289555,122.22932563738361,101.50864571511006,110.96989140770202,108.46721835832784,98.23377563196348,96.10046862059116,0.5919338768625263,0.4826856709727469,13.47916100295328,13.68931935848446,26.10003738250103,20.354911633471563,0.22785023324538806,0.21659137330289555,11.259434229681588,-6.958572643217778,2,1,0,1,0,1,1,1,2.133307011372324,13.762107279055769,-9.461245692591959,20.720679922273547,2.502673049374181,18.218006872899366,0.1092482058897794,0.21015835553117945,5.745125749029466,0.01125885994249251,1.0
2022_23,0022200626,2023-01-12,PHI,OKC,114,133,247,-19,,,,,,124.09599934815147,123.72442429919008,116.72819038756663,114.33255789454113,101.51982860976236,100.53268410914043,0.5748396680176828,0.5719831650988194,10.515279831085032,10.13668758502668,25.985707147959847,26.296037642102085,0.2654965735858942,0.23139141841515753,124.09599934815147,123.72442429919008,116.72819038756663,114.33255789454113,101.51982860976236,100.53268410914043,0.5748396680176828,0.5719831650988194,10.515279831085032,10.13668758502668,25.985707147959847,26.296037642102085,0.2654965735858942,0.23139141841515753,124.09599934815147,123.72442429919008,116.72819038756663,114.33255789454113,101.51982860976236,100.53268410914043,0.5748396680176828,0.5719831650988194,10.515279831085032,10.13668758502668,25.985707147959847,26.296037642102085,0.2654965735858942,0.23139141841515753,7.3678089605848385,9.391866404648951,2,2,0,0,1,1,1,1,0.9871445006219233,9.76344145361034,6.996233911623449,0.3715750489613896,2.395632493025502,-2.0240574440641126,0.002856502918863413,-0.37859224605835173,-0.3103304941422387,0.034105155170736645,1.0
2022_23,0022200628,2023-01-12,MIA,MIL,108,102,210,6,,,,,,111.26290211949149,111.54235562725444,108.05601057561539,112.19957660208415,96.406532583001,101.2091674242225,0.4927080923033408,0.5324157894005406,12.350331455803007,13.84763581578152,26.36604194896524,28.402305220216242,0.3183906385622036,0.22222309311875926,111.26290211949149,108.2924757985755,108.05601057561539,112.5541788268444,96.406532583001,101.54306334061691,0.4927080923033408,0.5139923245004505,12.350331455803007,13.78815070089719,26.36604194896524,27.827827136870635,0.3183906385622036,0.21122757759896604,111.26290211949149,111.54235562725444,108.05601057561539,112.19957660208415,96.406532583001,101.2091674242225,0.4927080923033408,0.5324157894005406,12.350331455803007,13.84763581578152,26.36604194896524,28.402305220216242,0.3183906385622036,0.22222309311875926,3.2068915438760968,-4.2617030282689115,2,1,0,1,1,1,1,1,-5.136530757615915,-1.291276707352921,0.2364652229601063,2.9704263209159905,-4.498168251229018,7.468594572145008,-0.02128423219710973,1.4378192450941842,-1.4617851879053951,0.10716306096323758,1.0
2022_23,0022200629,2023-01-12,TOR,CHA,124,114,238,10,,,,,,115.81055411788039,115.3040171423963,113.90219973090775,118.47917451342201,99.73174350214678,103.15353618745974,0.4971339317101677,0.5438409632986241,8.32569339692465,10.267157253200319,27.238715395482267,21.027685878127688,0.29244648164465364,0.24693168043973673,115.81055411788039,115.3040171423963,113.90219973090775,118.47917451342201,99.73174350214678,103.15353618745974,0.4971339317101677,0.5438409632986241,8.32569339692465,10.267157253200319,27.238715395482267,21.027685878127688,0.29244648164465364,0.24693168043973673,115.81055411788039,115.3040171423963,113.90219973090775,118.47917451342201,99.73174350214678,103.15353618745974,0.4971339317101677,0.5438409632986241,8.32569339692465,10.267157253200319,27.238715395482267,21.027685878127688,0.29244648164465364,0.24693168043973673,1.9083543869726327,-3.175157371025705,2,2,0,0,1,1,1,1,-3.421792685312951,-2.6686203955416232,1.401817411488551,0.5065369754840816,-4.576974782514256,5.0835117579983375,-0.046707031588456405,1.9414638562756679,6.211029517354579,0.04551480120491691,1.0
2022_23,0022200630,2023-01-12,LAL,DAL,115,119,234,-4,,,,,,115.75027160705233,112.4715233231966,113.19859986192853,120.32982705634454,105.19522006179594,96.46089099804968,0.5727516002758594,0.5228718295424668,13.95056340857538,11.626499719718367,22.70069277047099,15.87594098942672,0.30725005099513364,0.46162519477985037,115.75027160705233,112.4715233231966,113.19859986192853,120.32982705634454,105.19522006179594,96.46089099804968,0.5727516002758594,0.5228718295424668,13.95056340857538,11.626499719718367,22.70069277047099,15.87594098942672,0.30725005099513364,0.46162519477985037,115.75027160705233,112.4715233231966,113.19859986192853,120.32982705634454,105.19522006179594,96.46089099804968,0.5727516002758594,0.5228718295424668,13.95056340857538,11.626499719718367,22.70069277047099,15.87594098942672,0.30725005099513364,0.46162519477985037,2.551671745123798,-7.858303733147935,3,2,0,0,0,1,1,1,8.734329063746259,-4.579555449292215,-0.7270765387319216,3.2787482838557196,-7.131227194416013,10.409975478271733,0.04987977073339256,-2.324063688857013,6.82475178104427,-0.15437514378471673,1.0
2022_23,0022200631,2023-01-12,POR,CLE,113,119,232,-6,,,,,,108.48842813203962,116.43174800003985,109.42259810600186,114.35731690328794,101.44771387791624,97.347426858028,0.5261419782030277,0.550151273846926,16.462729768220346,9.625182774616489,25.632458500193017,19.709827578148012,0.37255012807146265,0.32721669634713113,108.48842813203962,116.43174800003985,109.42259810600186,114.35731690328794,101.44771387791624,97.347426858028,0.5261419782030277,0.550151273846926,16.462729768220346,9.625182774616489,25.632458500193017,19.709827578148012,0.37255012807146265,0.32721669634713113,108.48842813203962,116.43174800003985,109.42259810600186,114.35731690328794,101.44771387791624,97.347426858028,0.5261419782030277,0.550151273846926,16.462729768220346,9.625182774616489,25.632458500193017,19.709827578148012,0.37255012807146265,0.32721669634713113,-0.9341699739622413,2.0744310967519084,2,2,0,0,1,1,1,1,4.100287019888242,-5.868888771248322,7.009149894037989,-7.943319868000231,-4.934718797286081,-3.0086010707141497,-0.02400929564389831,-6.837546993603857,5.9226309220450055,0.04533343172433152,1.0
2022_23,0022200640,2023-01-13,SAC,HOU,139,114,253,25,,,,,,125.14690772657806,108.39803397233011,117.0178497244232,120.48987156419814,102.12401683930469,99.48566171927988,0.5898028294287674,0.5109304496584512,11.093991266071509,12.588976674564442,22.923277356877406,23.551006645126712,0.27997032795757015,0.25774161464635026,122.27753935058546,108.39803397233011,117.16892153197837,120.48987156419814,101.78071573471044,99.48566171927988,0.5722315245239727,0.5109304496584512,11.493446909472178,12.588976674564442,23.760083093472357,23.551006645126712,0.25935027329797516,0.25774161464635026,122.27753935058546,108.39803397233011,117.16892153197837,120.48987156419814,101.78071573471044,99.48566171927988,0.5722315245239727,0.5109304496584512,11.493446909472178,12.588976674564442,23.760083093472357,23.551006645126712,0.25935027329797516,0.25774161464635026,5.108617818607087,-12.091837591868028,2,2,0,0,1,0,1,0,2.2950540154305656,1.787667786387317,-8.770887559648259,13.879505378255345,-3.32095003221977,17.200455410475115,0.0613010748655215,1.0955297650922642,0.20907644834564465,0.0016086586516249057,1.0
2022_23,0022200639,2023-01-13,LAC,DEN,103,115,218,-12,,,,,,109.50234946699,123.71160543333424,118.73101526680213,108.87279498462593,96.38640594307549,97.54420211761013,0.4747696075823553,0.5870790741819604,9.85991489462884,12.297873406056096,24.41293181930997,29.355100766489773,0.3454681920136898,0.23169237769810583,109.50234946699,123.44413210698372,118.73101526680213,109.09298087167424,96.38640594307549,98.07542164373784,0.4747696075823553,0.6021017601305366,9.85991489462884,12.974684086776284,24.41293181930997,24.98179477165944,0.3454681920136898,0.231051664959392,109.50234946699,123.71160543333424,118.73101526680213,108.87279498462593,96.38640594307549,97.54420211761013,0.4747696075823553,0.5870790741819604,9.85991489462884,12.297873406056096,24.41293181930997,29.355100766489773,0.3454681920136898,0.23169237769810583,-9.228665799812134,14.351151235309473,3,2,0,0,0,1,0,0,-1.6890157006623525,0.40936859531575465,4.713116840181584,-13.941782639993718,9.638034395127889,-23.579817035121607,-0.1273321525481813,3.1147691921474436,-0.5688629523494697,0.11441652705429778,1.0
