market,submarket,model_name,split_year,n_test,auc,mae,mae_market,mae_gain,brier,brier_market,cal_slope,cal_intercept,is_monotonic
F5_TeamTotals,away_over_1.5,LightGBM,2023,2430,0.5319,0.4864,,,0.2674,,0.1253,0.3159,True
F5_TeamTotals,away_over_1.5,LogReg,2024,2430,0.5439,0.4846,,,0.251,,0.2673,0.2004,True
F5_TeamTotals,away_over_1.5,LightGBM,2024,2430,0.5526,0.4789,,,0.2507,,0.33,0.1648,True
F5_TeamTotals,away_over_1.5,LogReg,2025,2430,0.5628,0.4812,,,0.247,,0.485,0.0717,True
F5_TeamTotals,away_over_1.5,LightGBM,2025,2430,0.5605,0.4811,,,0.2483,,0.4389,0.0781,True
F5_TeamTotals,home_over_2.0,LogReg,2023,2430,0.5249,0.4799,,,0.2727,,0.1121,-0.1276,True
F5_TeamTotals,home_over_2.0,LightGBM,2023,2430,0.5244,0.4821,,,0.2669,,0.1334,-0.129,True
F5_TeamTotals,home_over_2.0,LogReg,2024,2430,0.5486,0.4807,,,0.2489,,0.2391,-0.2813,True
F5_TeamTotals,home_over_2.0,LightGBM,2024,2430,0.5388,0.4803,,,0.2507,,0.2421,-0.2677,True
F5_TeamTotals,home_over_2.0,LogReg,2025,2430,0.5372,0.4835,,,0.2495,,0.2703,-0.1957,True
F5_TeamTotals,home_over_2.0,LightGBM,2025,2430,0.5421,0.4809,,,0.2497,,0.3078,-0.1717,True
F5_TeamTotals,away_over_2.0,LogReg,2023,2430,0.5337,0.4641,,,0.2641,,0.1509,-0.2365,True
F5_TeamTotals,away_over_2.0,LightGBM,2023,2430,0.5359,0.4631,,,0.2636,,0.156,-0.2223,True
F5_TeamTotals,away_over_2.0,LogReg,2024,2430,0.5295,0.4709,,,0.2473,,0.1824,-0.384,True
F5_TeamTotals,away_over_2.0,LightGBM,2024,2430,0.53,0.4693,,,0.2472,,0.1874,-0.3777,True
F5_TeamTotals,away_over_2.0,LogReg,2025,2430,0.5606,0.4626,,,0.236,,0.4719,-0.2675,True
F5_TeamTotals,away_over_2.0,LightGBM,2025,2430,0.5558,0.4644,,,0.2385,,0.3548,-0.3218,True
F5_TeamTotals,home_over_2.5,LogReg,2023,2430,0.5249,0.4799,,,0.2727,,0.1121,-0.1276,True
F5_TeamTotals,home_over_2.5,LightGBM,2023,2430,0.5244,0.4821,,,0.2669,,0.1334,-0.129,True
F5_TeamTotals,home_over_2.5,LogReg,2024,2430,0.5486,0.4807,,,0.2489,,0.2391,-0.2813,True
F5_TeamTotals,home_over_2.5,LightGBM,2024,2430,0.5388,0.4803,,,0.2507,,0.2421,-0.2677,True
F5_TeamTotals,home_over_2.5,LogReg,2025,2430,0.5372,0.4835,,,0.2495,,0.2703,-0.1957,True
F5_TeamTotals,home_over_2.5,LightGBM,2025,2430,0.5421,0.4809,,,0.2497,,0.3078,-0.1717,True
F5_TeamTotals,away_over_2.5,LogReg,2023,2430,0.5337,0.4641,,,0.2641,,0.1509,-0.2365,True
F5_TeamTotals,away_over_2.5,LightGBM,2023,2430,0.5359,0.4631,,,0.2636,,0.156,-0.2223,True
F5_TeamTotals,away_over_2.5,LogReg,2024,2430,0.5295,0.4709,,,0.2473,,0.1824,-0.384,True
F5_TeamTotals,away_over_2.5,LightGBM,2024,2430,0.53,0.4693,,,0.2472,,0.1874,-0.3777,True
F5_TeamTotals,away_over_2.5,LogReg,2025,2430,0.5606,0.4626,,,0.236,,0.4719,-0.2675,True
F5_TeamTotals,away_over_2.5,LightGBM,2025,2430,0.5558,0.4644,,,0.2385,,0.3548,-0.3218,True
F5_TeamTotals,home_over_3.0,LogReg,2023,2430,0.5171,0.4016,,,0.2317,,0.0641,-0.7328,True
F5_TeamTotals,home_over_3.0,LightGBM,2023,2430,0.507,0.3954,,,0.2315,,0.052,-0.7422,False
F5_TeamTotals,home_over_3.0,LogReg,2024,2430,0.5553,0.4092,,,0.211,,0.2388,-0.6885,True
F5_TeamTotals,home_over_3.0,LightGBM,2024,2430,0.5526,0.3997,,,0.21,,0.3077,-0.59,True
F5_TeamTotals,home_over_3.0,LogReg,2025,2430,0.5547,0.4104,,,0.2129,,0.4061,-0.4593,True
F5_TeamTotals,home_over_3.0,LightGBM,2025,2430,0.5293,0.4088,,,0.2165,,0.2513,-0.5819,True
F5_TeamTotals,away_over_3.0,LogReg,2023,2430,0.5394,0.373,,,0.2188,,0.1688,-0.6833,True
F5_TeamTotals,away_over_3.0,LightGBM,2023,2430,0.5482,0.3604,,,0.2188,,0.2052,-0.5916,True
F5_TeamTotals,away_over_3.0,LogReg,2024,2430,0.541,0.3805,,,0.1985,,0.2091,-0.8528,True
F5_TeamTotals,away_over_3.0,LightGBM,2024,2430,0.5374,0.3761,,,0.1971,,0.1947,-0.8564,True
F5_TeamTotals,away_over_3.0,LogReg,2025,2430,0.5573,0.3706,,,0.1927,,0.3674,-0.6405,True
F5_TeamTotals,away_over_3.0,LightGBM,2025,2430,0.5563,0.3678,,,0.1936,,0.3463,-0.6492,True
