"Player","Prop Type","Bet Side","Vegas Line","Prediction","Edge %","Confidence %","Odds","Book","Model"
"Jordan Walsh","rebounds","OVER",4.5,"0.5629380605305805","2.3767553618138093",56,-117,"DraftKings","rebounds_lightgbm"
"Kon Knueppel","points","UNDER",18.5,"0.6201093526059486","2.0109352605948594",62,-150,"Bovada","points_lightgbm"
"Josh Okogie","rebounds","OVER",3.5,"0.6242994227586111","1.6456285503709145",62,-155,"Caesars","rebounds_lightgbm"
"Kel'el Ware","rebounds","OVER",10.5,"0.5762136931383653","1.0996301834017563",58,-130,"BetOnline.ag","rebounds_lightgbm"
"Jakob Poeltl","points","OVER",11.5,"0.6105253137400383","1.052531374003829",61,-150,"Bovada","points_lightgbm"
"Malik Monk","assists","OVER",2.5,"0.574684411876488","0.9467020572140217",57,-130,"BetOnline.ag","assists_logistic_pra"
"DeMar DeRozan","rebounds","UNDER",3.5,"0.5372093433811486","0.6692911456265938",54,-113,"BetRivers","rebounds_lightgbm"
"Tyler Herro","rebounds","UNDER",4.5,"0.6052419570835369","0.20673539089337556",61,-152,"DraftKings","rebounds_lightgbm"
"Brandon Miller","points","UNDER",19.5,"0.6275670345628418","-0.20625950667878534",63,-170,"Bovada","points_lightgbm"
"Anfernee Simons","rebounds","UNDER",2.5,"0.5485135473561759","-0.7042008199379723",55,-125,"Fanatics","rebounds_lightgbm"
"Miles McBride","rebounds","UNDER",2.5,"0.5467453839691504","-0.881017158640518",55,-125,"BetMGM","rebounds_lightgbm"
"Andrew Nembhard","rebounds","UNDER",2.5,"0.5733796150347615","-0.9953718298571834",57,-140,"DraftKings","rebounds_lightgbm"
"T.J. McConnell","points","OVER",8.5,"0.6051251657623364","-1.0259449622278982",61,-160,"Bovada","points_lightgbm"
"Trey Murphy III","rebounds","UNDER",5.5,"0.531711650677674","-1.783789887187559",53,-122,"DraftKings","rebounds_lightgbm"
"Jordan Clarkson","points","OVER",10.5,"0.630238330786219","-1.8884476231324832",63,-185,"Bovada","points_lightgbm"
"Precious Achiuwa","rebounds","OVER",5.5,"0.5863122757922795","-2.6090824982914262",59,-158,"FanDuel","rebounds_lightgbm"
"LaMelo Ball","points","OVER",16.5,"0.640140707383303","-2.6525959283363654",64,-200,"Bovada","points_lightgbm"
"Andrew Wiggins","points","UNDER",14.5,"0.6100762525130602","-3.2780890344082714",61,-180,"Bovada","points_lightgbm"
"Kon Knueppel","points","UNDER",19.5,"0.6201093526059486","-3.5063061187154854",62,-190,"Bovada","points_lightgbm"
"Miles McBride","points","OVER",9.5,"0.6085762331330785","-4.659618066002491",61,-190,"Bovada","points_lightgbm"
"Cam Spencer","rebounds","UNDER",2.5,"0.5264991853795628","-4.7968899726820275",53,-135,"BetOnline.ag","rebounds_lightgbm"
"Jarace Walker","points","OVER",7.5,"0.6006004854403861","-4.8522321577157745",60,-185,"Bovada","points_lightgbm"
"Norman Powell","rebounds","UNDER",3.5,"0.5493800175292042","-4.901355676798458",55,-149,"DraftKings","rebounds_lightgbm"
"Brandon Miller","points","UNDER",20.5,"0.6275670345628418","-5.4972647976840765",63,-215,"Bovada","points_lightgbm"
"Dillon Brooks","rebounds","UNDER",3.5,"0.534506509901083","-5.733022479279459",53,-145,"BetOnline.ag","rebounds_lightgbm"
"Bam Adebayo","assists","OVER",2.5,"0.5663722672212024","-6.188052088288687",57,-169,"BetOnline.ag","assists_logistic_pra"
"Ben Sheppard","points","OVER",4.5,"0.6204617691104402","-6.20779134292424",62,-215,"Bovada","points_lightgbm"
"Mikal Bridges","rebounds","UNDER",4.5,"0.5436300226179135","-6.421311463698842",54,-155,"BetMGM","rebounds_lightgbm"
"Aaron Holiday","assists","OVER",1.5,"0.5572607724870365","-6.53807369469257",56,-165,"BetMGM","assists_logistic_pra"
"Jarace Walker","rebounds","UNDER",4.5,"0.5258225871859308","-6.601414750794676",53,-145,"Bovada","rebounds_lightgbm"
"Ryan Rollins","rebounds","UNDER",4.5,"0.5257348430596784","-6.610189163419911",53,-145,"Bovada","rebounds_lightgbm"
"Jakob Poeltl","points","OVER",10.5,"0.6105253137400383","-6.689404109867136",61,-210,"Bovada","points_lightgbm"
"Jamal Shead","points","OVER",5.5,"0.6086277110253192","-6.879164381339042",61,-210,"Bovada","points_lightgbm"
"Jock Landale","points","OVER",7.5,"0.6131107645225233","-7.438923547747667",61,-220,"Bovada","points_lightgbm"
"LaMelo Ball","points","OVER",15.5,"0.640140707383303","-8.208151483891923",64,-260,"Bovada","points_lightgbm"
"Ben Sheppard","rebounds","UNDER",4.5,"0.5653846242506083","-8.373818276693557",57,-185,"Bovada","rebounds_lightgbm"
"Kon Knueppel","points","UNDER",20.5,"0.6201093526059486","-8.577300033522794",62,-240,"Bovada","points_lightgbm"
"Andrew Wiggins","points","UNDER",15.5,"0.6100762525130602","-8.689344445663682",61,-230,"Bovada","points_lightgbm"
"Isaiah Jackson","rebounds","OVER",4.5,"0.5597872946321834","-8.933551238536053",56,-185,"Bovada","rebounds_lightgbm"
"Chet Holmgren","rebounds","OVER",6.5,"0.5256843753885287","-8.970023999608667",53,-160,"Bovada","rebounds_lightgbm"
"T.J. McConnell","points","OVER",7.5,"0.6051251657623364","-9.184453120736059",61,-230,"Bovada","points_lightgbm"
"Jordan Clarkson","points","OVER",9.5,"0.630238330786219","-9.198389143600316",63,-260,"Bovada","points_lightgbm"
"Ryan Kalkbrenner","rebounds","OVER",5.5,"0.5362575651102501","-9.337206451937952",54,-170,"Bovada","rebounds_lightgbm"
"Collin Sexton","rebounds","UNDER",2.5,"0.5398760510028303","-10.170100992906928",54,-179,"BetOnline.ag","rebounds_lightgbm"
"Clint Capela","rebounds","OVER",5.5,"0.5274298870326877","-10.219974259694197",53,-170,"Bovada","rebounds_lightgbm"
"Brandon Miller","points","UNDER",21.5,"0.6275670345628418","-10.576629877049148",63,-275,"Bovada","points_lightgbm"
"Miles McBride","points","OVER",8.5,"0.6085762331330785","-12.475710020025478",61,-275,"Bovada","points_lightgbm"
"Kel'el Ware","rebounds","OVER",9.5,"0.5762136931383653","-12.966865980281117",58,-240,"Bovada","rebounds_lightgbm"
"Cason Wallace","rebounds","UNDER",3.5,"0.5444159686940238","-13.300338614468588",54,-210,"Bovada","rebounds_lightgbm"
"Jarace Walker","points","OVER",6.5,"0.6006004854403861","-13.624161982277172",60,-280,"Bovada","points_lightgbm"
"DeMar DeRozan","rebounds","UNDER",4.5,"0.5341548317203476","-17.17275212208289",53,-240,"Bovada","rebounds_lightgbm"
"Jarace Walker","rebounds","UNDER",5.5,"0.5258225871859308","-21.776715640381283",53,-290,"Bovada","rebounds_lightgbm"
"Ryan Rollins","rebounds","UNDER",5.5,"0.5257348430596784","-21.78549005300652",53,-290,"Bovada","rebounds_lightgbm"
"Chet Holmgren","rebounds","OVER",5.5,"0.5256843753885287","-22.431562461147124",53,-300,"Bovada","rebounds_lightgbm"
