bucket,count,pct,mean_error,mae,avg_model,avg_actual
"[-999, -15)",256,20.031298904538342,-26.65376647943176,26.65376647943176,228.31107727056823,254.96484375
"[-15, -10)",107,8.37245696400626,-12.382903131630382,12.382903131630382,227.82270434500512,240.20560747663552
"[-10, -7)",83,6.494522691705789,-8.4824747414092,8.4824747414092,227.69824815015704,236.18072289156626
"[-7, -4)",82,6.416275430359937,-5.536894118206143,5.536894118206143,228.37774002813526,233.91463414634146
"[-4, -2)",53,4.147104851330203,-3.043726163415434,3.043726163415434,227.23929270450913,230.28301886792454
"[-2, 0)",57,4.460093896713615,-1.0824981301204444,1.0824981301204444,227.46136151900237,228.5438596491228
"[0, 2)",47,3.6776212832550863,0.9501443738921271,0.9501443738921271,227.65227203346655,226.70212765957447
"[2, 4)",43,3.3646322378716746,2.888701644863986,2.888701644863986,227.65614350532908,224.7674418604651
"[4, 7)",75,5.868544600938967,5.464209094053979,5.464209094053979,227.69087576072067,222.22666666666666
"[7, 10)",63,4.929577464788732,8.398109690267773,8.398109690267773,227.58858588074395,219.1904761904762
"[10, 15)",111,8.685446009389672,12.305434876344599,12.305434876344599,227.14327271418242,214.83783783783784
"[15, 999)",301,23.552425665101723,27.125256642952753,27.125256642952753,227.2415357127202,200.11627906976744
