player,date,side,line,oddsDec,pCal,stake,won,profit_pred_only,edge_abs,lastShots,L10_toi,books,lineStd
Drake Batherson,2024-02-17,under,1.7857142857142858,2.500,0.684,0.261,0,0.7105,0.371,1,16.95,7,0.452
Brandon Hagel,2024-04-06,under,2.2142857142857144,2.400,0.591,0.164,1,0.4182,0.021,5,18.61,7,0.452
Alex DeBrincat,2024-10-22,under,3.1,2.380,0.591,0.162,1,0.4064,0.041,1,18.61,5,0.490
Lucas Raymond,2024-11-18,under,2.3,2.500,0.591,0.175,1,0.4773,0.026,4,18.13,5,0.400
