segment,key,total,wins,losses,profit,roi,avgOdds,modelBias,marketBias
by_edge_bin,edge_<0.5_over,2530,1172,1358,-323.44,-0.1278,1.931,-0.22,0.04
by_dow,5_over,410,197,213,-52.46,-0.128,1.827,-0.586,0.195
by_price_dispersion,priceDisp_med_over,3669,1788,1881,-470.41,-0.1282,1.819,-0.572,0.136
by_odds_bin,odds_2.00-2.20_over,895,375,520,-116.73,-0.1304,2.076,-0.792,-0.153
by_L10_shots_avg,shotsAvg_>=4_over,426,202,224,-55.57,-0.1304,1.879,-1.241,0.129
by_line_bucket,1.5_over,2503,1346,1157,-329.83,-0.1318,1.621,-0.38,0.355
by_last_game_shots,lastShots_2-3_over,2871,1391,1480,-379.8,-0.1323,1.829,-0.545,0.152
by_last_game_shots,lastShots_0-1_over,1851,920,931,-245.41,-0.1326,1.781,-0.391,0.154
by_edge_bin,edge_0.5-1.0_over,2369,1164,1205,-317.83,-0.1342,1.791,-0.574,0.161
by_month,11_over,525,251,274,-71.73,-0.1366,1.84,-0.624,0.058
by_month,3_over,1942,938,1004,-266.67,-0.1373,1.825,-0.597,0.146
by_month,10_over,1463,704,759,-204.26,-0.1396,1.828,-0.602,0.125
by_L10_toi,toi_>=18_over,4331,2033,2298,-619.16,-0.143,1.867,-0.759,0.074
by_L10_shots_avg,shotsAvg_<2_over,1447,743,704,-207.03,-0.1431,1.688,-0.211,0.266
by_dow,0_over,650,313,337,-93.62,-0.144,1.83,-0.553,0.185
by_dow,1_over,645,307,338,-93.58,-0.1451,1.841,-0.652,0.071
by_dow,4_over,1432,677,755,-224.01,-0.1564,1.826,-0.68,0.061
by_books_count,books_2-3_over,988,466,522,-154.68,-0.1566,1.81,-0.505,0.158
by_dow,3_over,447,205,242,-76.48,-0.1711,1.844,-0.655,0.057
