date,game_id,home_team,away_team,actual_total,market_line,over_pred_residual,over_pred_total,over_edge,under_prob,bet_direction,bet_result,profit_units,conflict_flag,train_samples,over_model_trees,under_model_trees
2025-01-04,0022400480,IND,PHX,234,233.5,3.1943681180378136,236.6943681180378,3.1943681180378007,0.34058457615164045,,,,False,504,0,0
2025-01-04,0022400482,CHI,NYK,265,234.83333333333334,2.9983992328359186,237.83173256616925,2.998399232835908,0.33371599931781426,,,,False,504,0,0
2025-01-04,0022400478,BKN,PHI,217,214.33333333333334,-8.250355299871652,206.0829780334617,-8.250355299871643,0.548983106000163,,,,False,504,0,0
2025-01-04,0022400481,MIA,UTA,236,223.5,-14.333487055454734,209.16651294454527,-14.333487055454725,0.8166312387185087,,,,False,504,0,0
2025-01-04,0022400485,GSW,MEM,234,234.16666666666666,-4.490199232073048,229.6764674345936,-4.490199232073053,0.546779553315249,,,,False,504,0,0
2025-01-04,0022400483,MIL,POR,207,227.33333333333334,-3.7533770553249557,223.57995627800838,-3.753377055324961,0.6300893857427128,,,,False,504,0,0
2025-01-04,0022400486,LAC,ATL,236,227.83333333333334,4.336970653760063,232.1703039870934,4.336970653760062,0.2919010479517563,OVER,WIN,0.9090909090909091,False,504,0,0
2025-01-04,0022400479,DET,MIN,224,217.66666666666666,1.485903030553279,219.15256969721995,1.4859030305532883,0.32253263959659373,,,,False,504,0,0
2025-01-04,0022400484,SAS,DEN,233,237.0,13.761542767694923,250.76154276769492,13.76154276769492,0.1643403703590503,,,,False,504,0,0
2025-01-05,0022400492,GSW,SAC,228,225.33333333333334,9.001436455509221,234.33476978884255,9.001436455509207,0.24252536388390575,,,,False,513,0,0
2025-01-05,0022400490,ORL,UTA,197,212.16666666666666,8.244951786047364,220.411618452714,8.244951786047352,0.2367290043665296,,,,False,513,0,0
2025-01-05,0022400491,HOU,LAL,234,218.33333333333334,15.648587756264394,233.98192108959773,15.64858775626439,0.3409701877553555,,,,False,513,0,0
2025-01-05,0022400489,WAS,NOP,208,235.16666666666666,-3.047366095249299,232.11930057141737,-3.047366095249288,0.16122695541884316,,,,False,513,0,0
2025-01-05,0022400487,OKC,BOS,197,221.5,3.693203433706423,225.19320343370643,3.6932034337064295,0.2473425009428372,,,,False,513,0,0
2025-01-05,0022400488,CLE,CHA,220,223.0,-6.359942953478619,216.64005704652138,-6.3599429534786225,0.4875342869965941,,,,False,513,0,0
2025-01-06,0022400498,CHI,SAS,224,236.5,13.67374856061118,250.1737485606112,13.673748560611187,0.3168921838375499,,,,False,519,0,0
2025-01-06,0022400496,NYK,ORL,197,210.0,-10.847645459013577,199.15235454098644,-10.847645459013563,0.4884599356382888,,,,False,519,0,0
2025-01-06,0022400493,DET,POR,233,225.5,14.913424051898769,240.41342405189877,14.913424051898772,0.4102300509371909,,,,False,519,0,0
2025-01-06,0022400494,PHI,PHX,208,223.33333333333334,-4.729083370400537,218.6042499629328,-4.729083370400531,0.6740035140149403,UNDER,WIN,0.9090909090909091,False,519,0,0
2025-01-06,0022400495,BKN,IND,212,222.83333333333334,-18.730042995667404,204.10329033766595,-18.73004299566739,0.8007099804488272,,,,False,519,0,0
2025-01-06,0022400500,MIN,LAC,214,214.5,7.486672330990518,221.98667233099053,7.48667233099053,0.46126336070813534,OVER,LOSS,-1.0,False,519,0,0
2025-01-06,0022400497,TOR,MIL,232,230.5,-1.286471980936459,229.21352801906355,-1.2864719809364544,0.49564960076323905,,,,False,519,0,0
2025-01-06,0022400499,MEM,DAL,223,232.33333333333334,2.342629355461048,234.67596268879439,2.3426293554610425,0.4903042317171833,,,,False,519,0,0
