date,game_id,home_team,away_team,actual_total,market_line,pred_model,pred_matchup,pred_blended,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-01-04,0022400480,IND,PHX,234,233.5,226.30987342413974,235.681081532436,232.86971909994713,-0.6302809000528669,,,,,504
2025-01-04,0022400482,CHI,NYK,265,234.83333333333334,228.48684421344527,223.76906802777177,225.1844008834738,-9.64893244985953,,,,,504
2025-01-04,0022400478,BKN,PHI,217,214.33333333333334,219.4499503801201,220.54688472355338,220.2178044205234,5.8844710871900645,OVER,100.0,WIN,5.0-6.0,504
2025-01-04,0022400481,MIA,UTA,236,223.5,230.61289487328114,233.04086217782856,232.31247198646432,8.812471986464317,,,,,504
2025-01-04,0022400485,GSW,MEM,234,234.16666666666666,229.04413858839064,234.21103604184435,232.66096680580821,-1.5056998608584422,,,,,504
2025-01-04,0022400483,MIL,POR,207,227.33333333333334,227.445864962756,228.45292130828904,228.1508044046291,0.8174710712957562,,,,,504
2025-01-04,0022400486,LAC,ATL,236,227.83333333333334,226.99091135310974,228.56322364559256,228.0915299578477,0.258196624514369,,,,,504
2025-01-04,0022400479,DET,MIN,224,217.66666666666666,229.55297993707845,225.16308672462034,226.48005468835777,8.813388021691111,,,,,504
2025-01-04,0022400484,SAS,DEN,233,237.0,231.39893606867435,236.01320855427628,234.62892680859568,-2.371073191404321,,,,,504
2025-01-05,0022400492,GSW,SAC,228,225.33333333333334,221.10116213459628,231.8718534564169,228.64064605987068,3.307312726537333,,,,,513
2025-01-05,0022400490,ORL,UTA,197,212.16666666666666,231.9913244641876,219.89803691037204,223.5260231765167,11.359356509850045,,,,,513
2025-01-05,0022400491,HOU,LAL,234,218.33333333333334,224.7141088202738,216.60354007746486,219.03671070030754,0.7033773669741947,,,,,513
2025-01-05,0022400489,WAS,NOP,208,235.16666666666666,225.94382264472708,236.81822877722885,233.5559069374783,-1.610759729188345,,,,,513
2025-01-05,0022400487,OKC,BOS,197,221.5,231.47457664458855,218.8569546096282,222.64224122011626,1.1422412201162615,,,,,513
2025-01-05,0022400488,CLE,CHA,220,223.0,220.41371134727433,223.67627253846697,222.6975041811092,-0.30249581889080446,,,,,513
2025-01-06,0022400498,CHI,SAS,224,236.5,221.57392126252364,219.03270629494642,219.7950707852196,-16.704929214780407,,,,,519
2025-01-06,0022400496,NYK,ORL,197,210.0,221.67893200144184,214.28707472742718,216.50463190963157,6.50463190963157,OVER,-110.0,LOSS,6.0-8.0,519
2025-01-06,0022400493,DET,POR,233,225.5,229.2006350140757,236.00366406403077,233.96275534904424,8.462755349044244,,,,,519
2025-01-06,0022400494,PHI,PHX,208,223.33333333333334,224.0226218984936,230.67504056937705,228.679314968112,5.345981634778667,OVER,-110.0,LOSS,5.0-6.0,519
2025-01-06,0022400495,BKN,IND,212,222.83333333333334,225.30168290638667,222.88078416952683,223.60705379058476,0.7737204572514145,,,,,519
2025-01-06,0022400500,MIN,LAC,214,214.5,229.35592662929713,218.30560372213148,221.62070059428117,7.120700594281175,OVER,-110.0,LOSS,6.0-8.0,519
2025-01-06,0022400497,TOR,MIL,232,230.5,226.0048566502925,223.47892422531683,224.23670395280953,-6.263296047190465,UNDER,-110.0,LOSS,6.0-8.0,519
2025-01-06,0022400499,MEM,DAL,223,232.33333333333334,227.40868863793665,236.30483972519778,233.6359943990194,1.3026610656860669,,,,,519
2025-01-06,0022400501,SAC,MIA,241,224.16666666666666,221.60067275445937,226.74281580838954,225.20017289221047,1.0335062255438174,,,,,519
2025-01-07,0022400506,UTA,ATL,245,235.83333333333334,230.54452529212392,238.20053006925784,235.90372863611765,0.07039530278430561,,,,,528
2025-01-07,0022400507,DEN,BOS,224,235.5,230.46899472987323,240.27751059189177,237.3349558332862,1.8349558332861875,,,,,528
2025-01-07,0022400508,GSW,MIA,212,218.5,221.43701947196658,219.7895658209706,220.2838019162694,1.7838019162693968,,,,,528
2025-01-07,0022400504,DAL,LAL,215,219.5,224.37267847025396,224.0649966823356,224.1573012187111,4.657301218711098,OVER,-110.0,LOSS,4.0-5.0,528
2025-01-07,0022400503,WAS,HOU,247,225.33333333333334,225.8741909087253,223.60947061247418,224.2888867013495,-1.0444466319838455,,,,,528
2025-01-07,0022400502,CHA,PHX,219,222.16666666666666,219.52627225623795,212.85864178777945,214.858930928317,-7.307735738349663,UNDER,100.0,WIN,6.0-8.0,528
2025-01-07,0022400505,NOP,MIN,201,220.83333333333334,228.28107567343503,233.77351211706738,232.12578118397767,11.292447850644322,,,,,528
2025-01-08,0022400509,CLE,OKC,251,227.83333333333334,228.27931661498027,222.7450152100393,224.40530563152157,-3.4280277018117715,,,,,535
2025-01-08,0022400510,IND,CHI,242,241.0,224.0306554438913,237.56059883368312,233.50161581674558,-7.498384183254416,UNDER,-110.0,LOSS,6.0-8.0,535
2025-01-08,0022400511,NYK,TOR,210,231.33333333333334,224.54730835957355,236.42147922602055,232.85922796608645,1.5258946327531078,,,,,535
2025-01-08,0022400512,PHI,WAS,212,221.5,224.52119132356754,231.44692741779966,229.36920658953,7.869206589529995,OVER,-110.0,LOSS,6.0-8.0,535
2025-01-08,0022400513,BKN,DET,211,213.5,226.9517514099402,218.44861590961352,220.9995565597115,7.499556559711493,OVER,-110.0,LOSS,6.0-8.0,535
2025-01-08,0022400515,DEN,LAC,229,227.5,228.24647461175542,231.83640915875475,230.75942879465492,3.259428794654923,,,,,535
2025-01-08,0022400514,NOP,POR,219,226.5,226.72646932345666,236.30516308673685,233.43155495775278,6.93155495775278,OVER,-110.0,LOSS,6.0-8.0,535
