date,game_id,home_team,away_team,actual_total,market_line,predicted_residual,predicted_total,edge,bet_direction,bet_result,profit_units,edge_bucket,train_samples,model_trees
2025-02-07,0022400737,BKN,MIA,188,211.16666666666666,0.01583555780763058,211.1825022244743,0.015835557807633904,,,,,754,0
2025-02-07,0022400736,ATL,MIL,225,241.5,-9.942940041382116,231.55705995861788,-9.942940041382116,,,,,754,0
2025-02-07,0022400738,DET,PHI,237,224.66666666666666,2.3703032380915894,227.03696990475825,2.3703032380915943,,,,,754,0
2025-02-07,0022400739,OKC,TOR,230,231.5,-2.931986418284312,228.5680135817157,-2.9319864182843105,,,,,754,0
2025-02-07,0022400740,PHX,UTA,262,231.5,-4.454253286807036,227.04574671319295,-4.454253286807045,UNDER,LOSS,-1.0,4.0-5.0,754,0
2025-02-07,0022400734,CHA,SAS,233,227.5,-7.669289719085336,219.83071028091467,-7.669289719085327,UNDER,LOSS,-1.0,6.0-8.0,754,0
2025-02-08,0022400743,ORL,SAS,223,218.66666666666666,-9.70117629341674,208.9654903732499,-9.70117629341675,,,,,761,0
2025-02-08,0022400745,CHI,GSW,243,235.5,-0.838280604196899,234.6617193958031,-0.8382806041969104,,,,,761,0
2025-02-08,0022400741,DAL,HOU,221,226.0,0.5028059637689292,226.50280596376894,0.5028059637689353,,,,,761,0
2025-02-08,0022400742,LAL,IND,241,231.0,2.19437149153274,233.19437149153273,2.194371491532735,,,,,761,0
2025-02-08,0022400744,WAS,ATL,236,236.83333333333334,-4.23613887434504,232.5971944589883,-4.236138874345045,UNDER,WIN,0.9090909090909091,4.0-5.0,761,0
2025-02-08,0022400749,PHX,DEN,227,237.66666666666666,6.6203575005044275,244.2870241671711,6.62035750050444,OVER,LOSS,-1.0,6.0-8.0,761,0
2025-02-08,0022400746,MEM,OKC,237,242.33333333333334,1.277772380037324,243.61110571337068,1.2777723800373337,,,,,761,0
2025-02-08,0022400748,NYK,BOS,235,231.83333333333334,-3.3615073475026014,228.47182598583075,-3.361507347502595,,,,,761,0
2025-02-08,0022400751,LAC,UTA,240,224.5,-2.549484029299699,221.9505159707003,-2.549484029299691,,,,,761,0
2025-02-08,0022400750,SAC,NOP,241,238.0,11.06498426686708,249.06498426686707,11.064984266867071,,,,,761,0
2025-02-08,0022400747,MIN,POR,212,216.33333333333334,-1.394085599149091,214.93924773418425,-1.3940855991490935,,,,,761,0
