Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,PHI by 4.3 (BET ✓) [69% conf],PHI by 4.3,LAC 3 (-115/-105),Models differ by 0.0 pts
TOTAL,OVER 56.0 (BET ✓) [58% conf],45.5 (range: 36-54.5),40.5 (O: -115 / U: -105),Models differ by 10.5 pts
MONEYLINE,PHI  [63% conf],PHI favored,LAC: 130 / PHI: -155,Book: draftkings
