Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,TB by 4.6 (BET ✓) [68% conf],NO by 4.9,TB -8.5 (-108/-112),Models differ by 0.3 pts
TOTAL,OVER 48.9 (BET ✓) [58% conf],45.0 (range: 36-54),41.5 (O: -110 / U: -110),Models differ by 3.9 pts
MONEYLINE,TB  [61% conf],NO favored,TB: -440 / NO: 340,Book: draftkings
