Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,MIN by 15.2 (BET ✓) [69% conf],WAS by 2.5,MIN -2.5 (-105/-115),Models differ by 12.7 pts
TOTAL,OVER 53.6 (BET ✓) [58% conf],45.5 (range: 36-54.5),42.5 (O: -105 / U: -115),Models differ by 8.1 pts
MONEYLINE,MIN (BET ✓) [68% conf],WAS favored,MIN: -130 / WAS: 110,Book: draftkings
