Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,ATL by 4.1 (BET ✓) [69% conf],ATL by 3.9,ATL 7 (-115/-105),Models differ by 8.0 pts
TOTAL,OVER 44.2  [58% conf],45.5 (range: 36.5-54.5),44.5 (O: -112 / U: -108),Models differ by 1.3 pts
MONEYLINE,ATL (BET ✓) [65% conf],ATL favored,ATL: 280 / SEA: -355,Book: draftkings
