Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,push by 1.3  [64% conf],HOU by 5.3,KC -3.5 (-105/-115),Models differ by 4.0 pts
TOTAL,UNDER 43.7  [58% conf],46.0 (range: 36.5-54.5),41.5 (O: -115 / U: -105),Models differ by 2.3 pts
MONEYLINE,KC  [58% conf],HOU favored,KC: -180 / HOU: 150,Book: draftkings
