Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,CLE by 14.6 (BET ✓) [69% conf],TEN by 2.6,CLE -4.5 (-105/-115),Models differ by 12.0 pts
TOTAL,UNDER 38.0 (BET ✓) [58% conf],42.0 (range: 32.5-50.5),33.5 (O: -115 / U: -105),Models differ by 4.0 pts
MONEYLINE,CLE (BET ✓) [67% conf],TEN favored,CLE: -205 / TEN: 170,Book: draftkings
