Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,GB by 2.2  [64% conf],CHI by 3.5,GB -6.5 (-115/-105),Models differ by 1.3 pts
TOTAL,UNDER 43.7  [58% conf],47.5 (range: 38-56),44.5 (O: -110 / U: -110),Models differ by 3.8 pts
MONEYLINE,GB  [57% conf],CHI favored,GB: -340 / CHI: 270,Book: draftkings
