Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,push by 0.5  [65% conf],PIT by 3.2,BAL -6 (-108/-112),Models differ by 2.7 pts
TOTAL,OVER 57.5 (BET ✓) [58% conf],47.0 (range: 37.5-55.5),42.5 (O: -118 / U: -102),Models differ by 10.5 pts
MONEYLINE,BAL (BET ✓) [65% conf],PIT favored,BAL: -290 / PIT: 235,Book: draftkings
