Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,DET by 3.6 (BET ✓) [69% conf],DAL by 5.7,DET -3 (-112/-108),Models differ by 2.1 pts
TOTAL,OVER 53.2 (BET ✓) [58% conf],48.5 (range: 39-57),54.5 (O: -110 / U: -110),Models differ by 4.7 pts
MONEYLINE,DET  [61% conf],DAL favored,DET: -166 / DAL: 140,Book: draftkings
