Market,V1 Model,V5 Model,Live Odds,Edge/Notes
SPREAD,push by 1.5  [66% conf],LV by 1.9,LV 7.5 (-112/-108),Models differ by 3.4 pts
TOTAL,UNDER 39.9 (BET ✓) [58% conf],45.5 (range: 36-54),40.5 (O: 102 / U: -122),Models differ by 5.6 pts
MONEYLINE,DEN  [60% conf],LV favored,LV: 320 / DEN: -410,Book: draftkings
