market,submarket,model_name,split_year,n_test,auc,mae,brier,log_loss_val,brier_skill,cal_slope,cal_intercept,is_monotonic,pos_rate,avg_precision,feature_group
F5_Totals,over_5.0,LightGBM,2024,2430,0.5352,0.4667,0.2416,0.6774,-0.0283,0.2569,-0.3844,True,0.3774,0.4066,all
F5_Totals,over_5.0,LGB_tuned,2024,2430,0.5456,0.4672,0.237,0.6669,-0.0085,0.4073,-0.3268,True,0.3774,0.4156,all
F5_Totals,over_5.0,LogReg,2025,2430,0.5685,0.46,0.2338,0.6605,0.0076,0.5834,-0.1904,True,0.3798,0.4355,all
F5_Totals,over_5.0,LightGBM,2025,2430,0.5541,0.46,0.2372,0.6683,-0.0068,0.4064,-0.2731,True,0.3798,0.4252,all
F5_Totals,over_5.0,LGB_tuned,2025,2430,0.5604,0.4613,0.2347,0.6626,0.0037,0.5311,-0.2128,True,0.3798,0.4324,all
F5_Totals,over_5.5,LogReg,2023,2430,0.4895,0.4762,0.2723,0.766,-0.1219,-0.0649,-0.3903,False,0.4148,0.4085,all
F5_Totals,over_5.5,LightGBM,2023,2430,0.5113,0.4685,0.2664,0.7439,-0.0976,0.0524,-0.3035,True,0.4148,0.4276,all
F5_Totals,over_5.5,LGB_tuned,2023,2430,0.5038,0.4725,0.2605,0.7247,-0.0729,0.0028,-0.3422,True,0.4148,0.4222,all
F5_Totals,over_5.5,LogReg,2024,2430,0.5261,0.4754,0.2454,0.6883,-0.0444,0.118,-0.4593,True,0.3774,0.3917,all
F5_Totals,over_5.5,LightGBM,2024,2430,0.5352,0.4667,0.2416,0.6774,-0.0283,0.2569,-0.3844,True,0.3774,0.4066,all
F5_Totals,over_5.5,LGB_tuned,2024,2430,0.5456,0.4672,0.237,0.6669,-0.0085,0.4073,-0.3268,True,0.3774,0.4156,all
F5_Totals,over_5.5,LogReg,2025,2430,0.5685,0.46,0.2338,0.6605,0.0076,0.5834,-0.1904,True,0.3798,0.4355,all
F5_Totals,over_5.5,LightGBM,2025,2430,0.5541,0.46,0.2372,0.6683,-0.0068,0.4064,-0.2731,True,0.3798,0.4252,all
F5_Totals,over_5.5,LGB_tuned,2025,2430,0.5604,0.4613,0.2347,0.6626,0.0037,0.5311,-0.2128,True,0.3798,0.4324,all
F5_TeamTotals,home_over_1.5,LogReg,2023,2430,0.518,0.4826,0.2626,0.7324,-0.1016,0.0602,0.4227,True,0.6078,0.6246,all
F5_TeamTotals,home_over_1.5,LightGBM,2023,2430,0.5161,0.4759,0.257,0.713,-0.0782,0.1041,0.3971,True,0.6078,0.6257,all
F5_TeamTotals,home_over_1.5,LGB_tuned,2023,2430,0.5235,0.4782,0.2511,0.6975,-0.0532,0.1587,0.3869,True,0.6078,0.6311,all
F5_TeamTotals,home_over_1.5,LogReg,2024,2430,0.5415,0.4683,0.2473,0.6922,-0.0238,0.2741,0.22,True,0.5918,0.6218,all
F5_TeamTotals,home_over_1.5,LightGBM,2024,2430,0.5388,0.4704,0.2482,0.6934,-0.0272,0.2541,0.2453,True,0.5918,0.6123,all
F5_TeamTotals,home_over_1.5,LGB_tuned,2024,2430,0.5421,0.4725,0.2448,0.6845,-0.0134,0.3306,0.2214,True,0.5918,0.6167,all
F5_TeamTotals,home_over_1.5,LogReg,2025,2430,0.5395,0.4697,0.2432,0.6815,-0.016,0.2882,0.2768,True,0.6029,0.6375,all
F5_TeamTotals,home_over_1.5,LightGBM,2025,2430,0.5274,0.4722,0.2457,0.6866,-0.0264,0.2215,0.3166,True,0.6029,0.6248,all
F5_TeamTotals,home_over_1.5,LGB_tuned,2025,2430,0.5321,0.4735,0.2424,0.6785,-0.0123,0.3058,0.2858,True,0.6029,0.6296,all
F5_TeamTotals,home_over_2.0,LogReg,2023,2430,0.5249,0.4799,0.2727,0.7563,-0.1013,0.1121,-0.1276,True,0.4506,0.4742,all
F5_TeamTotals,home_over_2.0,LightGBM,2023,2430,0.5244,0.4821,0.2669,0.7373,-0.0781,0.1334,-0.129,True,0.4506,0.4743,all
F5_TeamTotals,home_over_2.0,LGB_tuned,2023,2430,0.5305,0.4826,0.2588,0.7164,-0.0454,0.2001,-0.1102,False,0.4506,0.4905,all
F5_TeamTotals,home_over_2.0,LogReg,2024,2430,0.5486,0.4807,0.2489,0.697,-0.0245,0.2391,-0.2813,True,0.416,0.4565,all
F5_TeamTotals,home_over_2.0,LightGBM,2024,2430,0.5388,0.4803,0.2507,0.6967,-0.032,0.2421,-0.2677,True,0.416,0.4427,all
F5_TeamTotals,home_over_2.0,LGB_tuned,2024,2430,0.5463,0.4808,0.2468,0.6878,-0.0157,0.3272,-0.2482,True,0.416,0.4495,all
F5_TeamTotals,home_over_2.0,LogReg,2025,2430,0.5372,0.4835,0.2495,0.6942,-0.0171,0.2703,-0.1957,True,0.4313,0.4625,all
F5_TeamTotals,home_over_2.0,LightGBM,2025,2430,0.5421,0.4809,0.2497,0.6939,-0.0178,0.3078,-0.1717,True,0.4313,0.4633,all
F5_TeamTotals,home_over_2.0,LGB_tuned,2025,2430,0.5457,0.4823,0.2468,0.687,-0.006,0.4051,-0.15,True,0.4313,0.4656,all
F5_TeamTotals,home_over_2.5,LogReg,2023,2430,0.5249,0.4799,0.2727,0.7563,-0.1013,0.1121,-0.1276,True,0.4506,0.4742,all
F5_TeamTotals,home_over_2.5,LightGBM,2023,2430,0.5244,0.4821,0.2669,0.7373,-0.0781,0.1334,-0.129,True,0.4506,0.4743,all
F5_TeamTotals,home_over_2.5,LGB_tuned,2023,2430,0.5305,0.4826,0.2588,0.7164,-0.0454,0.2001,-0.1102,False,0.4506,0.4905,all
F5_TeamTotals,home_over_2.5,LogReg,2024,2430,0.5486,0.4807,0.2489,0.697,-0.0245,0.2391,-0.2813,True,0.416,0.4565,all
F5_TeamTotals,home_over_2.5,LightGBM,2024,2430,0.5388,0.4803,0.2507,0.6967,-0.032,0.2421,-0.2677,True,0.416,0.4427,all
F5_TeamTotals,home_over_2.5,LGB_tuned,2024,2430,0.5463,0.4808,0.2468,0.6878,-0.0157,0.3272,-0.2482,True,0.416,0.4495,all
F5_TeamTotals,home_over_2.5,LogReg,2025,2430,0.5372,0.4835,0.2495,0.6942,-0.0171,0.2703,-0.1957,True,0.4313,0.4625,all
F5_TeamTotals,home_over_2.5,LightGBM,2025,2430,0.5421,0.4809,0.2497,0.6939,-0.0178,0.3078,-0.1717,True,0.4313,0.4633,all
F5_TeamTotals,home_over_2.5,LGB_tuned,2025,2430,0.5457,0.4823,0.2468,0.687,-0.006,0.4051,-0.15,True,0.4313,0.4656,all
