column,dtype,null_pct,n_unique,category,safe_as_feature,suspicious,in_production_model
away_pos5_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos5_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos5_rbi_opp_1_2_ahead_obp,float64,0.01,8129,NON-PRODUCTION COLUMN,True,False,False
away_pos5_rbi_opp_1_4_ahead_obp,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
away_pos5_run_opp_1_2_behind_slg,float64,0.01,8816,NON-PRODUCTION COLUMN,True,False,False
away_pos5_run_opp_1_2_behind_iso,float64,0.01,5484,NON-PRODUCTION COLUMN,True,False,False
away_pos5_run_opp_1_4_behind_slg,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
away_pos5_run_opp_1_4_behind_iso,float64,0.01,9122,NON-PRODUCTION COLUMN,True,False,False
away_pos5_ahead_1_2_hr_per_pa,float64,0.01,5165,NON-PRODUCTION COLUMN,True,False,False
away_pos5_behind_1_2_hr_per_pa,float64,0.01,4525,NON-PRODUCTION COLUMN,True,False,False
away_pos6_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos6_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos6_rbi_opp_1_2_ahead_obp,float64,0.01,8389,NON-PRODUCTION COLUMN,True,False,False
away_pos6_rbi_opp_1_4_ahead_obp,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos6_run_opp_1_2_behind_slg,float64,0.01,8756,NON-PRODUCTION COLUMN,True,False,False
away_pos6_run_opp_1_2_behind_iso,float64,0.01,4856,NON-PRODUCTION COLUMN,True,False,False
away_pos6_run_opp_1_4_behind_slg,float64,0.01,9718,NON-PRODUCTION COLUMN,True,False,False
away_pos6_run_opp_1_4_behind_iso,float64,0.01,9171,NON-PRODUCTION COLUMN,True,False,False
away_pos6_ahead_1_2_hr_per_pa,float64,0.01,5219,NON-PRODUCTION COLUMN,True,False,False
away_pos6_behind_1_2_hr_per_pa,float64,0.01,3998,NON-PRODUCTION COLUMN,True,False,False
away_pos7_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos7_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos7_rbi_opp_1_2_ahead_obp,float64,0.01,8507,NON-PRODUCTION COLUMN,True,False,False
away_pos7_rbi_opp_1_4_ahead_obp,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos7_run_opp_1_2_behind_slg,float64,0.01,8650,NON-PRODUCTION COLUMN,True,False,False
away_pos7_run_opp_1_2_behind_iso,float64,0.01,4290,NON-PRODUCTION COLUMN,True,False,False
away_pos7_run_opp_1_4_behind_slg,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos7_run_opp_1_4_behind_iso,float64,0.01,9395,NON-PRODUCTION COLUMN,True,False,False
away_pos7_ahead_1_2_hr_per_pa,float64,0.01,4979,NON-PRODUCTION COLUMN,True,False,False
away_pos7_behind_1_2_hr_per_pa,float64,0.01,3524,NON-PRODUCTION COLUMN,True,False,False
away_pos8_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos8_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos8_rbi_opp_1_2_ahead_obp,float64,0.01,8495,NON-PRODUCTION COLUMN,True,False,False
away_pos8_rbi_opp_1_4_ahead_obp,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos8_run_opp_1_2_behind_slg,float64,0.01,8944,NON-PRODUCTION COLUMN,True,False,False
away_pos8_run_opp_1_2_behind_iso,float64,0.01,5252,NON-PRODUCTION COLUMN,True,False,False
away_pos8_run_opp_1_4_behind_slg,float64,0.01,9716,NON-PRODUCTION COLUMN,True,False,False
away_pos8_run_opp_1_4_behind_iso,float64,0.01,9572,NON-PRODUCTION COLUMN,True,False,False
away_pos8_ahead_1_2_hr_per_pa,float64,0.01,4525,NON-PRODUCTION COLUMN,True,False,False
away_pos8_behind_1_2_hr_per_pa,float64,0.01,4368,NON-PRODUCTION COLUMN,True,False,False
away_pos9_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos9_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos9_rbi_opp_1_2_ahead_obp,float64,0.01,8459,NON-PRODUCTION COLUMN,True,False,False
away_pos9_rbi_opp_1_4_ahead_obp,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
away_pos9_run_opp_1_2_behind_slg,float64,0.01,9021,NON-PRODUCTION COLUMN,True,False,False
away_pos9_run_opp_1_2_behind_iso,float64,0.01,6545,NON-PRODUCTION COLUMN,True,False,False
away_pos9_run_opp_1_4_behind_slg,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
away_pos9_run_opp_1_4_behind_iso,float64,0.01,9653,NON-PRODUCTION COLUMN,True,False,False
away_pos9_ahead_1_2_hr_per_pa,float64,0.01,3998,NON-PRODUCTION COLUMN,True,False,False
away_pos9_behind_1_2_hr_per_pa,float64,0.01,4979,NON-PRODUCTION COLUMN,True,False,False
label_home_score,float64,0.01,23,NON-PRODUCTION COLUMN,True,False,False
label_away_score,float64,0.01,25,NON-PRODUCTION COLUMN,True,False,False
label_f5_home_score,float64,0.01,18,LABEL (leakage if used as feature),False,False,False
label_f5_away_score,float64,0.01,21,LABEL (leakage if used as feature),False,False,False
label_home_win,float64,0.01,2,NON-PRODUCTION COLUMN,True,False,False
