column,dtype,null_pct,n_unique,category,safe_as_feature,suspicious,in_production_model
away_lineup_gb_pct,float64,0.01,9426,PRODUCTION FEATURE,True,False,True
away_lineup_fb_pct,float64,0.01,9425,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_fastball_pct,float64,0.01,9426,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_breaking_pct,float64,0.01,9423,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_offspeed_pct,float64,0.01,9412,PRODUCTION FEATURE,True,False,True
away_lineup_ev_vs_fastball,float64,0.01,9426,PRODUCTION FEATURE,True,False,True
away_lineup_ev_vs_breaking,float64,0.01,9421,PRODUCTION FEATURE,True,False,True
away_lineup_ev_vs_offspeed,float64,0.01,9415,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_velo_elite_pct,float64,0.01,9406,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_velo_plus_pct,float64,0.01,9423,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_velo_avg_pct,float64,0.01,9424,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_velo_soft_pct,float64,0.01,9426,PRODUCTION FEATURE,True,False,True
away_lineup_whiff_vs_sp_hand_pct,float64,0.01,9453,PRODUCTION FEATURE,True,False,True
away_lineup_ev_vs_sp_hand,float64,0.01,9453,PRODUCTION FEATURE,True,False,True
away_lineup_barrel_vs_sp_hand_pct,float64,0.01,9449,PRODUCTION FEATURE,True,False,True
away_lineup_top5_k_pct,float64,0.01,9718,PRODUCTION FEATURE,True,False,True
away_lineup_top5_obp,float64,0.01,9719,PRODUCTION FEATURE,True,False,True
away_lineup_top5_slg,float64,0.01,9719,PRODUCTION FEATURE,True,False,True
away_lineup_top5_iso,float64,0.01,9714,PRODUCTION FEATURE,True,False,True
away_lineup_top5_whiff_pct,float64,0.01,7160,PRODUCTION FEATURE,True,False,True
away_lineup_top5_ev_mean,float64,0.01,7163,PRODUCTION FEATURE,True,False,True
away_lineup_top5_barrel_pct,float64,0.01,7159,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_k_pct,float64,0.01,9719,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_obp,float64,0.01,9719,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_slg,float64,0.01,9719,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_iso,float64,0.01,9478,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_whiff_pct,float64,0.01,8630,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_ev_mean,float64,0.01,8642,PRODUCTION FEATURE,True,False,True
away_lineup_bottom4_barrel_pct,float64,0.01,8613,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_fastball_whiff_potential,float64,0.01,9705,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_breaking_whiff_potential,float64,0.01,9477,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_offspeed_whiff_potential,float64,0.01,9494,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_total_whiff_potential,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_velo_elite_whiff_potential,float64,0.01,7009,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_velo_plus_whiff_potential,float64,0.01,9356,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_velo_avg_whiff_potential,float64,0.01,9690,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_velo_soft_whiff_potential,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_velo_weighted_whiff_potential,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_chase_matchup,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_chase_diff,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_csw_vs_contact,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_barrel_matchup,float64,0.01,9631,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_hard_hit_matchup,float64,0.01,9705,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_ev_diff,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_gb_tendency,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_fb_tendency,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_whiff_vs_handedness,float64,0.01,9452,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_ev_vs_handedness,float64,0.01,9452,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_barrel_vs_handedness,float64,0.01,9442,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_whiff_advantage,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_combined_whiff,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_k_potential_composite,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_hr_suppression,float64,0.01,9631,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_hr_risk,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
home_vs_away_sp_offense_potential,float64,0.01,9706,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_fastball_whiff_potential,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_breaking_whiff_potential,float64,0.01,9482,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_offspeed_whiff_potential,float64,0.01,9462,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_total_whiff_potential,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_velo_elite_whiff_potential,float64,0.01,6945,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_velo_plus_whiff_potential,float64,0.01,9339,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_velo_avg_whiff_potential,float64,0.01,9685,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_velo_soft_whiff_potential,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_velo_weighted_whiff_potential,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_chase_matchup,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_chase_diff,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_csw_vs_contact,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_barrel_matchup,float64,0.01,9633,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_hard_hit_matchup,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_ev_diff,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_gb_tendency,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_fb_tendency,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_whiff_vs_handedness,float64,0.01,9453,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_ev_vs_handedness,float64,0.01,9453,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_barrel_vs_handedness,float64,0.01,9449,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_whiff_advantage,float64,0.01,9701,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_combined_whiff,float64,0.01,9701,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_k_potential_composite,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_hr_suppression,float64,0.01,9633,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_hr_risk,float64,0.01,9702,PRODUCTION FEATURE,True,False,True
away_vs_home_sp_offense_potential,float64,0.01,9701,PRODUCTION FEATURE,True,False,True
interaction_k_potential_diff,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
interaction_hr_risk_diff,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
interaction_offense_potential_diff,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
home_pos1_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos1_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos1_rbi_opp_1_2_ahead_obp,float64,0.01,8354,NON-PRODUCTION COLUMN,True,False,False
home_pos1_rbi_opp_1_4_ahead_obp,float64,0.01,9714,NON-PRODUCTION COLUMN,True,False,False
home_pos1_run_opp_1_2_behind_slg,float64,0.01,8974,NON-PRODUCTION COLUMN,True,False,False
home_pos1_run_opp_1_2_behind_iso,float64,0.01,6846,NON-PRODUCTION COLUMN,True,False,False
home_pos1_run_opp_1_4_behind_slg,float64,0.01,9718,NON-PRODUCTION COLUMN,True,False,False
home_pos1_run_opp_1_4_behind_iso,float64,0.01,9670,NON-PRODUCTION COLUMN,True,False,False
home_pos1_ahead_1_2_hr_per_pa,float64,0.01,3514,NON-PRODUCTION COLUMN,True,False,False
home_pos1_behind_1_2_hr_per_pa,float64,0.01,4943,NON-PRODUCTION COLUMN,True,False,False
home_pos2_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos2_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos2_rbi_opp_1_2_ahead_obp,float64,0.01,8706,NON-PRODUCTION COLUMN,True,False,False
home_pos2_rbi_opp_1_4_ahead_obp,float64,0.01,9714,NON-PRODUCTION COLUMN,True,False,False
