model,fold,fixture_id,date,home,away,btts_actual,btts_prob,btts_yes_odds,btts_no_odds,yes_edge,no_edge,vig,yes_edge_raw,no_edge_raw
poisson_leakfree,1,1035451,2024-03-09,manutd,everton,0,0.581705204909733,1.65,2.34,-0.004760960503800815,0.004760960503800871,0.033411033411033575,-0.02435540115087309,-0.009055632260160373
poisson_leakfree,1,1035444,2024-03-09,bournemouth,sheffutd,1,0.5303135246774399,,,,,,,
poisson_leakfree,1,1035453,2024-03-09,wolves,fulham,1,0.5704106909154095,1.7,2.24,0.0018827721336835967,-0.0018827721336836523,0.034663865546218364,-0.017824603202237554,-0.01683926234398092
poisson_leakfree,1,1035449,2024-03-09,crystalpalace,luton,1,0.4995566575511154,,,,,,,
poisson_leakfree,1,1035445,2024-03-09,arsenal,brentford,1,0.6903981012413176,2.02,1.84,0.2137141634174834,-0.2137141634174834,0.038527765820060234,0.19534859629082257,-0.2338763621108828
poisson_leakfree,1,1035446,2024-03-10,astonvilla,tottenham,0,0.7259053757095345,,,,,,,
poisson_leakfree,1,1035452,2024-03-10,westham,burnley,1,0.4532656050138486,1.78,2.12,-0.09032413857589505,0.090324138575895,0.03349586601653587,-0.1085321477951402,0.07503628177860427
poisson_leakfree,1,1035447,2024-03-10,brighton,nottmforest,0,0.6456972090350301,,,,,,,
poisson_leakfree,1,1035450,2024-03-10,liverpool,mancity,1,0.8352659292405992,1.45,2.89,0.16936731172907837,-0.16936731172907837,0.03567593365946786,0.14561075682680602,-0.18128669048627388
poisson_leakfree,1,1035448,2024-03-11,chelsea,newcastle,1,0.6692253847838818,1.46,2.88,0.005630914737798864,-0.005630914737798864,0.03215372907153724,-0.015706122065433203,-0.016447607006104037
poisson_leakfree,1,1035334,2024-03-13,bournemouth,luton,1,0.6636461921577951,1.53,2.61,0.0332114095490994,-0.03321140954909946,0.03673653369393737,0.010051420915965004,-0.04678795460990237
poisson_leakfree,1,1035460,2024-03-16,luton,nottmforest,1,0.6512410084383715,,,,,,,
poisson_leakfree,1,1035459,2024-03-16,fulham,tottenham,0,0.6276157194385963,1.46,2.87,-0.0352018325244523,0.03520183252445219,0.03336356259844386,-0.057315787410718744,0.023952224812274825
poisson_leakfree,1,1035456,2024-03-16,burnley,brentford,1,0.4640937931360112,1.63,2.37,-0.12840620686398885,0.12840620686398885,0.03543786078537958,-0.14940313937932626,0.11396527859394667
poisson_leakfree,1,1035462,2024-03-17,westham,astonvilla,1,0.6450772690237103,,,,,,,
poisson_leakfree,1,1035470,2024-03-30,newcastle,westham,1,0.5921520074982747,1.51,2.69,-0.04832418297791574,0.0483241829779158,0.03399886752504999,-0.07009964813086444,0.03610078060581451
poisson_leakfree,1,1035464,2024-03-30,bournemouth,everton,1,0.6222565072101557,1.6,2.44,0.018296111170551743,-0.018296111170551743,0.0348360655737705,-0.002743492789844315,-0.03209257278392619
poisson_leakfree,1,1035473,2024-03-30,tottenham,luton,1,0.6856606533092804,1.55,2.55,0.06370943379708527,-0.06370943379708532,0.03731815306767872,0.04049936298669976,-0.07781751605437848
poisson_leakfree,1,1035467,2024-03-30,chelsea,burnley,1,0.5737232684482497,1.8,2.07,0.038839547518017215,-0.038839547518017103,0.038647342995169254,0.018167712892694143,-0.056815055887863286
poisson_leakfree,1,1035472,2024-03-30,sheffutd,fulham,1,0.5653613668264065,,,,,,,
poisson_leakfree,1,1035471,2024-03-30,nottmforest,crystalpalace,1,0.4841219719872875,,,,,,,
poisson_leakfree,1,1035465,2024-03-30,astonvilla,wolves,0,0.6716024318118574,,,,,,,
poisson_leakfree,1,1035466,2024-03-30,brentford,manutd,1,0.5762526477677062,1.42,3.05,-0.1060739741562311,0.1060739741562311,0.03209420457169254,-0.12797270434496988,0.09587849977327734
