side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
YES,0.6,34,18,0.5294117647058824,-66.2,-19.470588235294116,-56.96356327653727,-16.75398919898155,0.17442989556007316,0.1765818925072788,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.65,31,17,0.5483870967741935,-51.10000000000001,-16.483870967741936,-42.38174509471908,-13.671530675715832,0.18965881074342456,0.19088356152619468,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.5,13,3,0.23076923076923078,-58.49999999999999,-44.99999999999999,-56.08223775403579,-43.14018288771984,0.3450857799985194,0.3702276155285771,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.55,12,3,0.25,-48.5,-40.416666666666664,-46.08223775403578,-38.401864795029816,0.3595613895151306,0.381170364182117,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.6,12,3,0.25,-48.5,-40.416666666666664,-46.08223775403578,-38.401864795029816,0.3595613895151306,0.381170364182117,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.65,11,3,0.2727272727272727,-38.5,-35.0,-36.08223775403578,-32.80203432185071,0.38218759486746284,0.39211311283565703,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.5,44,25,0.5681818181818182,-62.8,-14.272727272727273,-50.06105404183677,-11.377512282235628,0.16538635298897136,0.18442917339860576,1,Phase 2: Modern ML,catboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.55,41,23,0.5609756097560976,-61.5,-15.0,-49.69632814945231,-12.121055646207882,0.18774120508590586,0.19547327348502797,1,Phase 2: Modern ML,catboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.6,41,23,0.5609756097560976,-61.5,-15.0,-49.69632814945231,-12.121055646207882,0.18774120508590586,0.19547327348502797,1,Phase 2: Modern ML,catboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.65,40,22,0.55,-66.80000000000001,-16.700000000000003,-55.51381864374889,-13.878454660937223,0.19213491847719913,0.19575934020138508,1,Phase 2: Modern ML,catboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.5,10,3,0.3,-29.2,-29.2,-26.872857430933657,-26.872857430933657,0.2853479739703951,0.2641536540166539,1,Phase 2: Modern ML,catboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
