model,fold,fixture_id,date,home,away,btts_actual,btts_prob,btts_yes_odds,btts_no_odds,yes_edge,no_edge,vig,yes_edge_raw,no_edge_raw
gbm_fixed,1,1035451,2024-03-09,manutd,everton,0,0.6581173422087053,1.65,2.34,0.07165117679517152,-0.07165117679517147,0.033411033411033575,0.05205673614809925,-0.08546776955913271
gbm_fixed,1,1035444,2024-03-09,bournemouth,sheffutd,1,0.6241388956139694,,,,,,,
gbm_fixed,1,1035453,2024-03-09,wolves,fulham,1,0.6252376006968351,1.7,2.24,0.05670968191510917,-0.05670968191510922,0.034663865546218364,0.037002306579188016,-0.07166617212540649
gbm_fixed,1,1035449,2024-03-09,crystalpalace,luton,1,0.599849864024466,,,,,,,
gbm_fixed,1,1035445,2024-03-09,arsenal,brentford,1,0.6534463997977954,2.02,1.84,0.17676246197396117,-0.17676246197396117,0.038527765820060234,0.15839689484730035,-0.19692466066736058
gbm_fixed,1,1035446,2024-03-10,astonvilla,tottenham,0,0.5869402201639627,,,,,,,
gbm_fixed,1,1035452,2024-03-10,westham,burnley,1,0.5867472134705236,1.78,2.12,0.04315746988077995,-0.04315746988078001,0.03349586601653587,0.024949460661534806,-0.05844532667807073
gbm_fixed,1,1035447,2024-03-10,brighton,nottmforest,0,0.5967576815915434,,,,,,,
gbm_fixed,1,1035450,2024-03-10,liverpool,mancity,1,0.5858700004235338,1.45,2.89,-0.08002861708798703,0.08002861708798703,0.03567593365946786,-0.10378517199025938,0.06810923833079152
gbm_fixed,1,1035448,2024-03-11,chelsea,newcastle,1,0.5952182387371171,1.46,2.88,-0.06837623130896586,0.06837623130896586,0.03215372907153724,-0.08971326811219793,0.05755953904066069
gbm_fixed,1,1035334,2024-03-13,bournemouth,luton,1,0.5803126818372706,1.53,2.61,-0.05012210077142509,0.05012210077142504,0.03673653369393737,-0.07328208940455949,0.036545555710622124
gbm_fixed,1,1035460,2024-03-16,luton,nottmforest,1,0.5829362150209534,,,,,,,
gbm_fixed,1,1035459,2024-03-16,fulham,tottenham,0,0.5869207968487159,1.46,2.87,-0.07589675511433269,0.07589675511433258,0.03336356259844386,-0.09801071000059913,0.06464714740215521
gbm_fixed,1,1035456,2024-03-16,burnley,brentford,1,0.6022676508219766,1.63,2.37,0.009767650821976614,-0.009767650821976614,0.03543786078537958,-0.011229281693360793,-0.02420857909201879
gbm_fixed,1,1035462,2024-03-17,westham,astonvilla,1,0.6203669902363099,,,,,,,
gbm_fixed,1,1035470,2024-03-30,newcastle,westham,1,0.5940487854963399,1.51,2.69,-0.04642740497985054,0.046427404979850595,0.03399886752504999,-0.06820287013279924,0.034204002607749306
gbm_fixed,1,1035464,2024-03-30,bournemouth,everton,1,0.6075908806846657,1.6,2.44,0.003630484645061771,-0.003630484645061771,0.0348360655737705,-0.017409119315334287,-0.017426946258436216
gbm_fixed,1,1035473,2024-03-30,tottenham,luton,1,0.5805514467174753,1.55,2.55,-0.04139977279471985,0.04139977279471979,0.03731815306767872,-0.06460984360510535,0.02729169053742664
gbm_fixed,1,1035467,2024-03-30,chelsea,burnley,1,0.5934838747827036,1.8,2.07,0.05860015385247108,-0.05860015385247097,0.038647342995169254,0.03792831922714801,-0.07657566222231715
gbm_fixed,1,1035472,2024-03-30,sheffutd,fulham,1,0.620669211868311,,,,,,,
gbm_fixed,1,1035471,2024-03-30,nottmforest,crystalpalace,1,0.6320749976140005,,,,,,,
gbm_fixed,1,1035465,2024-03-30,astonvilla,wolves,0,0.5831978145628021,,,,,,,
gbm_fixed,1,1035466,2024-03-30,brentford,manutd,1,0.5993296797982592,1.42,3.05,-0.0829969421256781,0.0829969421256781,0.03209420457169254,-0.10489567231441688,0.07280146774272434
gbm_fixed,1,1035468,2024-03-31,liverpool,brighton,1,0.6070889457231234,1.54,2.63,-0.023606497921960456,0.023606497921960512,0.029578786232778764,-0.042261703627525904,0.01268291739474725
gbm_fixed,1,1035469,2024-03-31,mancity,arsenal,0,0.6555660672652409,1.75,2.16,0.10313639974605937,-0.10313639974605926,0.03439153439153442,0.08413749583666952,-0.11852903022820382
gbm_fixed,1,1035479,2024-04-02,westham,tottenham,1,0.5824669388075996,1.45,2.93,-0.08648283288189818,0.08648283288189818,0.03095210074143817,-0.10718823360619356,0.07623613286475539
gbm_fixed,1,1035478,2024-04-02,nottmforest,fulham,1,0.6365807648437389,,,,,,,
gbm_fixed,1,1035481,2024-04-02,newcastle,everton,1,0.6067083614276066,1.61,2.43,0.005223212912755182,-0.005223212912755126,0.03264064616721618,-0.014409650994753553,-0.018230995172462572
gbm_fixed,1,1035477,2024-04-02,burnley,wolves,1,0.598271812737793,1.71,2.24,0.03118320514285622,-0.03118320514285622,0.031223893065998265,0.013476491100366084,-0.04470038416636435
gbm_fixed,1,1035474,2024-04-02,bournemouth,crystalpalace,0,0.6617600544261314,,,,,,,
gbm_fixed,1,1035475,2024-04-03,arsenal,luton,0,0.5914793885567932,2.07,1.8,0.12636310948702578,-0.12636310948702567,0.038647342995169254,0.1083876011171796,-0.14703494411234874
gbm_fixed,1,1035476,2024-04-03,brentford,brighton,0,0.6195296539025202,1.48,2.78,-0.03305250572189289,0.03305250572189283,0.03538790589150298,-0.05614602177315542,0.020758115881652384
gbm_fixed,1,1035483,2024-04-03,mancity,astonvilla,1,0.5951415491511141,,,,,,,
gbm_fixed,1,1035482,2024-04-04,liverpool,sheffutd,1,0.630929259838371,,,,,,,
gbm_fixed,1,1035480,2024-04-04,chelsea,manutd,1,0.5789603947646914,1.45,2.92,-0.08923182491494241,0.08923182491494253,0.03212092583845072,-0.11069477764910174,0.07857385181065107
gbm_fixed,1,1035486,2024-04-06,crystalpalace,mancity,1,0.6445999841442476,,,,,,,
gbm_fixed,1,1035488,2024-04-06,fulham,newcastle,0,0.5951846000093133,1.51,2.68,-0.04443353841550779,0.044433538415507734,0.035385983987348046,-0.06706705561982584,0.0316810716324778
gbm_fixed,1,1035487,2024-04-06,everton,burnley,0,0.6224164135836506,1.71,2.23,0.05642656586791461,-0.05642656586791461,0.03322581491096943,0.03762109194622376,-0.07084690685719325
gbm_fixed,1,1035485,2024-04-06,brighton,arsenal,0,0.5956173736474388,1.8,2.09,0.058342309380086665,-0.058342309380086665,0.034024455077086735,0.04006181809188325,-0.07408627316896998
gbm_fixed,1,1035484,2024-04-06,astonvilla,brentford,1,0.5853607436250515,,,,,,,
gbm_fixed,1,1035489,2024-04-06,luton,bournemouth,1,0.5775759886107467,1.52,2.65,-0.05791561810388168,0.05791561810388157,0.03525322740814296,-0.08031874823135865,0.04506552082321558
gbm_fixed,1,1035493,2024-04-06,wolves,westham,1,0.5752217343608612,1.67,2.31,-0.005180275689390057,0.005180275689390057,0.03170282811001379,-0.02358066084871968,-0.008122167261294111
gbm_fixed,1,1035490,2024-04-07,manutd,liverpool,1,0.5868006831054983,1.4,3.12,-0.10346480362016552,0.10346480362016547,0.034798534798534675,-0.12748503118021604,0.09268649638168125
gbm_fixed,1,1035491,2024-04-07,sheffutd,chelsea,1,0.6036094638343383,,,,,,,
gbm_fixed,1,1035492,2024-04-07,tottenham,nottmforest,1,0.5972065947181985,,,,,,,
gbm_fixed,1,1035501,2024-04-13,newcastle,tottenham,0,0.5872989628218926,1.34,3.48,-0.13469273842292062,0.13469273842292062,0.033624978555498286,-0.1589696938945252,0.1253447153390269
gbm_fixed,1,1035497,2024-04-13,burnley,brighton,1,0.6206574401461709,1.56,2.56,-0.000701783154799962,0.0007017831548000175,0.03165064102564097,-0.02036820087947011,-0.011282440146170858
gbm_fixed,1,1035500,2024-04-13,mancity,luton,1,0.6027524048352918,2.05,1.81,0.1338404877368462,-0.1338404877368462,0.04029106589408449,0.11494752678651127,-0.1552385926805957
gbm_fixed,1,1035496,2024-04-13,brentford,sheffutd,0,0.6163626391903468,,,,,,,
gbm_fixed,1,1035502,2024-04-13,nottmforest,wolves,1,0.5874579579493949,,,,,,,
gbm_fixed,1,1035494,2024-04-13,bournemouth,manutd,1,0.5870004957332591,1.39,3.17,-0.10817494286323226,0.10817494286323215,0.03488187368086604,-0.13242396469839568,0.09754209101752959
gbm_fixed,1,1035499,2024-04-14,liverpool,crystalpalace,0,0.6430069433889767,,,,,,,
gbm_fixed,1,1035503,2024-04-14,westham,fulham,0,0.6146221627653334,1.55,2.58,-0.010075173796409986,0.010075173796409875,0.03275818954738674,-0.030539127557247192,-0.0022190619901396036
gbm_fixed,1,1035495,2024-04-14,arsenal,astonvilla,0,0.6054500290269879,,,,,,,
gbm_fixed,1,1035498,2024-04-15,chelsea,everton,0,0.646788920360782,1.64,2.35,0.0578164892830878,-0.05781648928308769,0.03528801245459268,0.03703282279980635,-0.07232083525439897
gbm_fixed,1,1035511,2024-04-20,sheffutd,burnley,1,0.6322364938830416,,,,,,,
gbm_fixed,1,1035509,2024-04-20,luton,brentford,1,0.5821884112378242,1.55,2.56,-0.04068263499088631,0.04068263499088626,0.035786290322580516,-0.06297287908475646,0.027186588762175834
gbm_fixed,1,1035513,2024-04-20,wolves,arsenal,0,0.5956369535784811,2.1,1.79,0.1354827119332369,-0.1354827119332369,0.0348496940675711,0.11944647738800496,-0.15429617145557606
gbm_fixed,1,1035507,2024-04-21,everton,nottmforest,0,0.6293516476179247,,,,,,,
gbm_fixed,1,1035506,2024-04-21,crystalpalace,westham,1,0.5943033783264837,,,,,,,
gbm_fixed,1,1035504,2024-04-21,astonvilla,bournemouth,1,0.5849545878232469,,,,,,,
gbm_fixed,1,1035508,2024-04-21,fulham,liverpool,1,0.561568555282898,1.53,2.63,-0.07064298317864048,0.07064298317864048,0.03382290812395938,-0.09202621595893212,0.05820330783497274
gbm_fixed,1,1035454,2024-04-23,arsenal,chelsea,0,0.6266988296756089,1.8,2.09,0.0894237654082567,-0.0894237654082567,0.034024455077086735,0.07114327412005328,-0.10516772919714001
gbm_fixed,1,1035463,2024-04-24,wolves,bournemouth,0,0.5948248704347908,1.52,2.66,-0.041538765928845534,0.04153876592884559,0.03383458646616555,-0.06306986640731449,0.02923527994114905
gbm_fixed,1,1035461,2024-04-24,manutd,sheffutd,1,0.588679349552786,,,,,,,
