model,fold,fixture_id,date,home,away,btts_actual,btts_prob,btts_yes_odds,btts_no_odds,yes_edge,no_edge,vig,yes_edge_raw,no_edge_raw
rf_tuned,1,1035451,2024-03-09,manutd,everton,0,0.5640090019312651,1.65,2.34,-0.02245716348226867,0.022457163482268727,0.033411033411033575,-0.04205160412934095,0.008640570718307483
rf_tuned,1,1035444,2024-03-09,bournemouth,sheffutd,1,0.5848348231245574,,,,,,,
rf_tuned,1,1035453,2024-03-09,wolves,fulham,1,0.5809269868380407,1.7,2.24,0.012399068056314744,-0.0123990680563148,0.034663865546218364,-0.0073083072796064075,-0.027355558266612068
rf_tuned,1,1035449,2024-03-09,crystalpalace,luton,1,0.6355430114630284,,,,,,,
rf_tuned,1,1035445,2024-03-09,arsenal,brentford,1,0.608984165794725,2.02,1.84,0.1323002279708908,-0.1323002279708908,0.038527765820060234,0.11393466084422998,-0.15246242666429022
rf_tuned,1,1035446,2024-03-10,astonvilla,tottenham,0,0.7418925121148284,,,,,,,
rf_tuned,1,1035452,2024-03-10,westham,burnley,1,0.5976516840076456,1.78,2.12,0.05406194041790191,-0.054061940417901966,0.03349586601653587,0.03585393119865676,-0.06934979721519269
rf_tuned,1,1035447,2024-03-10,brighton,nottmforest,0,0.6650673293671723,,,,,,,
rf_tuned,1,1035450,2024-03-10,liverpool,mancity,1,0.6291125986926778,1.45,2.89,-0.036786018818843025,0.036786018818843025,0.03567593365946786,-0.06054257372111538,0.024866640061647516
rf_tuned,1,1035448,2024-03-11,chelsea,newcastle,1,0.6946640387059753,1.46,2.88,0.0310695686598923,-0.0310695686598923,0.03215372907153724,0.009732531856660231,-0.04188626092819747
rf_tuned,1,1035334,2024-03-13,bournemouth,luton,1,0.6826095719142647,1.53,2.61,0.05217478930556907,-0.052174789305569125,0.03673653369393737,0.02901480067243467,-0.06575133436637204
rf_tuned,1,1035460,2024-03-16,luton,nottmforest,1,0.708721348482933,,,,,,,
rf_tuned,1,1035459,2024-03-16,fulham,tottenham,0,0.6580548236798681,1.46,2.87,-0.004762728283180473,0.004762728283180362,0.03336356259844386,-0.026876683169446913,-0.0064868794289970055
rf_tuned,1,1035456,2024-03-16,burnley,brentford,1,0.6428615834625595,1.63,2.37,0.05036158346255948,-0.05036158346255948,0.03543786078537958,0.02936465094722207,-0.06480251173260165
rf_tuned,1,1035462,2024-03-17,westham,astonvilla,1,0.6104795141659689,,,,,,,
rf_tuned,1,1035470,2024-03-30,newcastle,westham,1,0.6828067531745013,1.51,2.69,0.042330562698310925,-0.04233056269831087,0.03399886752504999,0.020555097545362222,-0.05455396507041216
rf_tuned,1,1035464,2024-03-30,bournemouth,everton,1,0.6412045049189848,1.6,2.44,0.0372441088793809,-0.0372441088793809,0.0348360655737705,0.01620450491898484,-0.051040570492755344
rf_tuned,1,1035473,2024-03-30,tottenham,luton,1,0.7619356114698875,1.55,2.55,0.1399843919576924,-0.13998439195769247,0.03731815306767872,0.1167743211473069,-0.15409247421498562
rf_tuned,1,1035467,2024-03-30,chelsea,burnley,1,0.6393196897068709,1.8,2.07,0.10443596877663841,-0.1044359687766383,0.038647342995169254,0.08376413415131534,-0.12241147714648448
rf_tuned,1,1035472,2024-03-30,sheffutd,fulham,1,0.5510520911311285,,,,,,,
rf_tuned,1,1035471,2024-03-30,nottmforest,crystalpalace,1,0.5922135734960975,,,,,,,
rf_tuned,1,1035465,2024-03-30,astonvilla,wolves,0,0.704792696283414,,,,,,,
rf_tuned,1,1035466,2024-03-30,brentford,manutd,1,0.6646557596384649,1.42,3.05,-0.017670862285472433,0.017670862285472433,0.03209420457169254,-0.03956959247421121,0.007475387902518671
rf_tuned,1,1035468,2024-03-31,liverpool,brighton,1,0.6423179818535099,1.54,2.63,0.011622538208425959,-0.011622538208425903,0.029578786232778764,-0.007032667497139489,-0.022546118735639165
rf_tuned,1,1035469,2024-03-31,mancity,arsenal,0,0.5532814026217174,1.75,2.16,0.0008517351025358888,-0.0008517351025357778,0.03439153439153442,-0.018147168806853964,-0.016244365584680343
rf_tuned,1,1035479,2024-04-02,westham,tottenham,1,0.6212207548938533,1.45,2.93,-0.04772901679564445,0.04772901679564445,0.03095210074143817,-0.06843441751993984,0.03748231677850167
rf_tuned,1,1035478,2024-04-02,nottmforest,fulham,1,0.5608605153733139,,,,,,,
rf_tuned,1,1035481,2024-04-02,newcastle,everton,1,0.6440496353033024,1.61,2.43,0.04256448678845093,-0.04256448678845087,0.03264064616721618,0.022931622880942193,-0.05557226904815832
rf_tuned,1,1035477,2024-04-02,burnley,wolves,1,0.5924960307705665,1.71,2.24,0.025407423175629718,-0.025407423175629718,0.031223893065998265,0.007700709133139583,-0.03892460219913785
rf_tuned,1,1035474,2024-04-02,bournemouth,crystalpalace,0,0.5825839865279334,,,,,,,
rf_tuned,1,1035475,2024-04-03,arsenal,luton,0,0.6648683494049165,2.07,1.8,0.19975207033514908,-0.19975207033514897,0.038647342995169254,0.1817765619653029,-0.22042390496047204
rf_tuned,1,1035476,2024-04-03,brentford,brighton,0,0.5805503769265765,1.48,2.78,-0.07203178269783661,0.07203178269783655,0.03538790589150298,-0.09512529874909914,0.059737392857596106
rf_tuned,1,1035483,2024-04-03,mancity,astonvilla,1,0.6441635670613632,,,,,,,
rf_tuned,1,1035482,2024-04-04,liverpool,sheffutd,1,0.6225240249739832,,,,,,,
rf_tuned,1,1035480,2024-04-04,chelsea,manutd,1,0.6734214017216031,1.45,2.92,0.005229182041969316,-0.005229182041969205,0.03212092583845072,-0.016233770692190008,-0.015887155146260656
rf_tuned,1,1035486,2024-04-06,crystalpalace,mancity,1,0.5140233441657747,,,,,,,
rf_tuned,1,1035488,2024-04-06,fulham,newcastle,0,0.6621123977138539,1.51,2.68,0.022494259289032814,-0.02249425928903287,0.035385983987348046,-0.00013925791528524023,-0.035246726072062806
rf_tuned,1,1035487,2024-04-06,everton,burnley,0,0.6329141366883659,1.71,2.23,0.06692428897262992,-0.06692428897262992,0.03322581491096943,0.04811881505093907,-0.08134462996190855
rf_tuned,1,1035485,2024-04-06,brighton,arsenal,0,0.5895151723437627,1.8,2.09,0.05224010807641055,-0.05224010807641055,0.034024455077086735,0.033959616788207136,-0.06798407186529387
rf_tuned,1,1035484,2024-04-06,astonvilla,brentford,1,0.6968143342886237,,,,,,,
rf_tuned,1,1035489,2024-04-06,luton,bournemouth,1,0.6943329949871955,1.52,2.65,0.05884138827256713,-0.05884138827256724,0.03525322740814296,0.03643825814509016,-0.07169148555323324
rf_tuned,1,1035493,2024-04-06,wolves,westham,1,0.6505805469527551,1.67,2.31,0.07017853690250386,-0.07017853690250386,0.03170282811001379,0.05177815174317424,-0.08348097985318803
rf_tuned,1,1035490,2024-04-07,manutd,liverpool,1,0.6349506717483193,1.4,3.12,-0.05531481497734447,0.05531481497734442,0.034798534798534675,-0.07933504253739498,0.0445365077388602
rf_tuned,1,1035491,2024-04-07,sheffutd,chelsea,1,0.6176176952554746,,,,,,,
rf_tuned,1,1035492,2024-04-07,tottenham,nottmforest,1,0.6979001503644915,,,,,,,
rf_tuned,1,1035501,2024-04-13,newcastle,tottenham,0,0.6818996193917087,1.34,3.48,-0.04009208185310453,0.04009208185310453,0.033624978555498286,-0.06436903732470911,0.030744058769210825
