MIN_EDGE,MAX_VIG,num_bets,roi,win_rate,avg_edge,max_drawdown,roi_std,sharpe,num_yes,num_no
0.0775,0.12,84,0.17526832994656272,0.5119047619047619,0.1186097623467454,-9.573328673487298,1.2035988647996883,0.14562021872273215,70,14
0.0775,0.1,84,0.17526832994656272,0.5119047619047619,0.1186097623467454,-9.573328673487298,1.2035988647996883,0.14562021872273215,70,14
0.0775,0.08,84,0.17526832994656272,0.5119047619047619,0.1186097623467454,-9.573328673487298,1.2035988647996883,0.14562021872273215,70,14
0.0775,0.06,84,0.17526832994656272,0.5119047619047619,0.1186097623467454,-9.573328673487298,1.2035988647996883,0.14562021872273215,70,14
0.0725,0.06,88,0.16162477628588068,0.5113636363636364,0.11658634508127398,-9.573328673487298,1.1921476305089238,0.13557446422712227,73,15
0.0725,0.08,88,0.16162477628588068,0.5113636363636364,0.11658634508127398,-9.573328673487298,1.1921476305089238,0.13557446422712227,73,15
0.0725,0.1,88,0.16162477628588068,0.5113636363636364,0.11658634508127398,-9.573328673487298,1.1921476305089238,0.13557446422712227,73,15
0.0725,0.12,88,0.16162477628588068,0.5113636363636364,0.11658634508127398,-9.573328673487298,1.1921476305089238,0.13557446422712227,73,15
0.075,0.08,85,0.1614416437118973,0.5058823529411764,0.11811553366239319,-9.573328673487298,1.203185130288337,0.1341785562735542,71,14
0.075,0.06,85,0.1614416437118973,0.5058823529411764,0.11811553366239319,-9.573328673487298,1.203185130288337,0.1341785562735542,71,14
0.075,0.12,85,0.1614416437118973,0.5058823529411764,0.11811553366239319,-9.573328673487298,1.203185130288337,0.1341785562735542,71,14
0.075,0.1,85,0.1614416437118973,0.5058823529411764,0.11811553366239319,-9.573328673487298,1.203185130288337,0.1341785562735542,71,14
0.08,0.12,78,0.15818795831726834,0.5128205128205128,0.1216648116662519,-9.573328673487294,1.1740840382272788,0.13473307971728543,68,10
0.08,0.06,78,0.15818795831726834,0.5128205128205128,0.1216648116662519,-9.573328673487294,1.1740840382272788,0.13473307971728543,68,10
0.08,0.08,78,0.15818795831726834,0.5128205128205128,0.1216648116662519,-9.573328673487294,1.1740840382272788,0.13473307971728543,68,10
0.08,0.1,78,0.15818795831726834,0.5128205128205128,0.1216648116662519,-9.573328673487294,1.1740840382272788,0.13473307971728543,68,10
0.07,0.12,94,0.14607277525159187,0.5,0.11371683000725358,-10.487307168110952,1.207882684970029,0.12093291597703162,75,19
0.07,0.1,94,0.14607277525159187,0.5,0.11371683000725358,-10.487307168110952,1.207882684970029,0.12093291597703162,75,19
0.07,0.08,94,0.14607277525159187,0.5,0.11371683000725358,-10.487307168110952,1.207882684970029,0.12093291597703162,75,19
0.07,0.06,94,0.14607277525159187,0.5,0.11371683000725358,-10.487307168110952,1.207882684970029,0.12093291597703162,75,19
0.065,0.12,108,0.13297921569346757,0.5,0.10769291911906125,-10.594624241281682,1.195690829295601,0.11121538480963977,86,22
0.065,0.06,108,0.13297921569346757,0.5,0.10769291911906125,-10.594624241281682,1.195690829295601,0.11121538480963977,86,22
0.065,0.08,108,0.13297921569346757,0.5,0.10769291911906125,-10.594624241281682,1.195690829295601,0.11121538480963977,86,22
0.065,0.1,108,0.13297921569346757,0.5,0.10769291911906125,-10.594624241281682,1.195690829295601,0.11121538480963977,86,22
0.0675,0.06,99,0.1277761574742686,0.494949494949495,0.11145072758956656,-9.594624241281686,1.1991695895687067,0.106553867431065,79,20
0.0675,0.08,99,0.1277761574742686,0.494949494949495,0.11145072758956656,-9.594624241281686,1.1991695895687067,0.106553867431065,79,20
0.0675,0.1,99,0.1277761574742686,0.494949494949495,0.11145072758956656,-9.594624241281686,1.1991695895687067,0.106553867431065,79,20
0.0675,0.12,99,0.1277761574742686,0.494949494949495,0.11145072758956656,-9.594624241281686,1.1991695895687067,0.106553867431065,79,20
0.06,0.1,127,0.10360851651860482,0.49606299212598426,0.10098535463924675,-12.787928568088546,1.1745609548754123,0.08821042116932513,101,26
0.06,0.12,127,0.10360851651860482,0.49606299212598426,0.10098535463924675,-12.787928568088546,1.1745609548754123,0.08821042116932513,101,26
0.06,0.06,127,0.10360851651860482,0.49606299212598426,0.10098535463924675,-12.787928568088546,1.1745609548754123,0.08821042116932513,101,26
0.06,0.08,127,0.10360851651860482,0.49606299212598426,0.10098535463924675,-12.787928568088546,1.1745609548754123,0.08821042116932513,101,26
0.0375,0.12,207,0.07754217087834575,0.4975845410628019,0.08080988372562925,-12.63567733164496,1.1440244692199188,0.0677801681385537,146,61
0.0375,0.1,207,0.07754217087834575,0.4975845410628019,0.08080988372562925,-12.63567733164496,1.1440244692199188,0.0677801681385537,146,61
0.0375,0.08,207,0.07754217087834575,0.4975845410628019,0.08080988372562925,-12.63567733164496,1.1440244692199188,0.0677801681385537,146,61
0.0375,0.06,207,0.07754217087834575,0.4975845410628019,0.08080988372562925,-12.63567733164496,1.1440244692199188,0.0677801681385537,146,61
0.035,0.1,220,0.07646173294712842,0.5,0.07818459957523408,-15.738618508115547,1.137006120984576,0.0672483037126637,155,65
0.035,0.08,220,0.07646173294712842,0.5,0.07818459957523408,-15.738618508115547,1.137006120984576,0.0672483037126637,155,65
0.035,0.06,220,0.07646173294712842,0.5,0.07818459957523408,-15.738618508115547,1.137006120984576,0.0672483037126637,155,65
0.035,0.12,220,0.07646173294712842,0.5,0.07818459957523408,-15.738618508115547,1.137006120984576,0.0672483037126637,155,65
0.025,0.12,262,0.07626847405710624,0.5,0.07055525474627099,-15.982039560747126,1.1356833902433043,0.06715645813994583,178,84
0.025,0.1,262,0.07626847405710624,0.5,0.07055525474627099,-15.982039560747126,1.1356833902433043,0.06715645813994583,178,84
0.025,0.08,262,0.07626847405710624,0.5,0.07055525474627099,-15.982039560747126,1.1356833902433043,0.06715645813994583,178,84
0.025,0.06,262,0.07626847405710624,0.5,0.07055525474627099,-15.982039560747126,1.1356833902433043,0.06715645813994583,178,84
0.0625,0.06,119,0.07551830733368972,0.4789915966386555,0.10365748223808495,-12.6403095204695,1.1807523039950205,0.06395778951959445,94,25
0.0625,0.08,119,0.07551830733368972,0.4789915966386555,0.10365748223808495,-12.6403095204695,1.1807523039950205,0.06395778951959445,94,25
0.0625,0.12,119,0.07551830733368972,0.4789915966386555,0.10365748223808495,-12.6403095204695,1.1807523039950205,0.06395778951959445,94,25
0.0625,0.1,119,0.07551830733368972,0.4789915966386555,0.10365748223808495,-12.6403095204695,1.1807523039950205,0.06395778951959445,94,25
0.0325,0.06,232,0.06942688099989269,0.4956896551724138,0.075879171183924,-14.932496865413079,1.138444841039942,0.0609839655792835,161,71
0.0325,0.08,232,0.06942688099989269,0.4956896551724138,0.075879171183924,-14.932496865413079,1.138444841039942,0.0609839655792835,161,71
0.0325,0.1,232,0.06942688099989269,0.4956896551724138,0.075879171183924,-14.932496865413079,1.138444841039942,0.0609839655792835,161,71
0.0325,0.12,232,0.06942688099989269,0.4956896551724138,0.075879171183924,-14.932496865413079,1.138444841039942,0.0609839655792835,161,71
0.02,0.06,287,0.06814983302510147,0.5017421602787456,0.06636921467777562,-15.581648369787985,1.1225953093193122,0.06070739157677779,195,92
0.02,0.08,287,0.06814983302510147,0.5017421602787456,0.06636921467777562,-15.581648369787985,1.1225953093193122,0.06070739157677779,195,92
0.02,0.12,287,0.06814983302510147,0.5017421602787456,0.06636921467777562,-15.581648369787985,1.1225953093193122,0.06070739157677779,195,92
0.02,0.1,287,0.06814983302510147,0.5017421602787456,0.06636921467777562,-15.581648369787985,1.1225953093193122,0.06070739157677779,195,92
0.045,0.12,182,0.06801654875965284,0.4945054945054945,0.08629869698054043,-11.35119457302427,1.1372617391862478,0.059807295379796344,133,49
0.045,0.1,182,0.06801654875965284,0.4945054945054945,0.08629869698054043,-11.35119457302427,1.1372617391862478,0.059807295379796344,133,49
0.045,0.08,182,0.06801654875965284,0.4945054945054945,0.08629869698054043,-11.35119457302427,1.1372617391862478,0.059807295379796344,133,49
0.045,0.06,182,0.06801654875965284,0.4945054945054945,0.08629869698054043,-11.35119457302427,1.1372617391862478,0.059807295379796344,133,49
0.005,0.08,355,0.0648404643949548,0.504225352112676,0.056004289927488224,-17.849670739796704,1.112143652428065,0.058302238432412196,226,129
0.005,0.06,355,0.0648404643949548,0.504225352112676,0.056004289927488224,-17.849670739796704,1.112143652428065,0.058302238432412196,226,129
0.005,0.1,355,0.0648404643949548,0.504225352112676,0.056004289927488224,-17.849670739796704,1.112143652428065,0.058302238432412196,226,129
0.005,0.12,355,0.0648404643949548,0.504225352112676,0.056004289927488224,-17.849670739796704,1.112143652428065,0.058302238432412196,226,129
0.03,0.12,247,0.06396555574165079,0.4939271255060729,0.07317729323183648,-14.982039560747126,1.1356675755080008,0.05632418950856993,168,79
0.03,0.1,247,0.06396555574165079,0.4939271255060729,0.07317729323183648,-14.982039560747126,1.1356675755080008,0.05632418950856993,168,79
0.03,0.08,247,0.06396555574165079,0.4939271255060729,0.07317729323183648,-14.982039560747126,1.1356675755080008,0.05632418950856993,168,79
0.03,0.06,247,0.06396555574165079,0.4939271255060729,0.07317729323183648,-14.982039560747126,1.1356675755080008,0.05632418950856993,168,79
0.0175,0.06,294,0.06095682132242704,0.5,0.06523428395236708,-15.763891360442194,1.118454564415555,0.054500936615408994,199,95
0.0175,0.08,294,0.06095682132242704,0.5,0.06523428395236708,-15.763891360442194,1.118454564415555,0.054500936615408994,199,95
0.0175,0.12,294,0.06095682132242704,0.5,0.06523428395236708,-15.763891360442194,1.118454564415555,0.054500936615408994,199,95
0.0175,0.1,294,0.06095682132242704,0.5,0.06523428395236708,-15.763891360442194,1.118454564415555,0.054500936615408994,199,95
0.0575,0.06,137,0.0599705350271338,0.48175182481751827,0.09791451020693312,-15.78792856808855,1.1604887788182323,0.051676962433194716,106,31
0.0575,0.12,137,0.0599705350271338,0.48175182481751827,0.09791451020693312,-15.78792856808855,1.1604887788182323,0.051676962433194716,106,31
0.0575,0.08,137,0.0599705350271338,0.48175182481751827,0.09791451020693312,-15.78792856808855,1.1604887788182323,0.051676962433194716,106,31
0.0575,0.1,137,0.0599705350271338,0.48175182481751827,0.09791451020693312,-15.78792856808855,1.1604887788182323,0.051676962433194716,106,31
0.0075,0.12,343,0.058204855360139356,0.5014577259475219,0.05774092708200993,-20.95633581385308,1.1116778359922366,0.05235766467196692,221,122
0.0075,0.1,343,0.058204855360139356,0.5014577259475219,0.05774092708200993,-20.95633581385308,1.1116778359922366,0.05235766467196692,221,122
0.0075,0.08,343,0.058204855360139356,0.5014577259475219,0.05774092708200993,-20.95633581385308,1.1116778359922366,0.05235766467196692,221,122
0.0075,0.06,343,0.058204855360139356,0.5014577259475219,0.05774092708200993,-20.95633581385308,1.1116778359922366,0.05235766467196692,221,122
0.015,0.12,304,0.053508172955609876,0.4967105263157895,0.06362236503723989,-17.763891360442198,1.1171603997592126,0.04789658939498999,202,102
0.015,0.1,304,0.053508172955609876,0.4967105263157895,0.06362236503723989,-17.763891360442198,1.1171603997592126,0.04789658939498999,202,102
0.015,0.08,304,0.053508172955609876,0.4967105263157895,0.06362236503723989,-17.763891360442198,1.1171603997592126,0.04789658939498999,202,102
0.015,0.06,304,0.053508172955609876,0.4967105263157895,0.06362236503723989,-17.763891360442198,1.1171603997592126,0.04789658939498999,202,102
0.0425,0.12,188,0.052237319532754616,0.48936170212765956,0.08493267498087553,-10.635677331644963,1.131623871948886,0.04616137996699499,135,53
0.0425,0.08,188,0.052237319532754616,0.48936170212765956,0.08493267498087553,-10.635677331644963,1.131623871948886,0.04616137996699499,135,53
