match_id,fold,side,threshold,p_yes,p_no,chosen_side_prob,decimal_odds_used,fair_odds_used,implied_prob,edge,is_win,profit_raw,profit_fair,stake,train_start,train_end,test_start,test_end
278,1,YES,0.5,0.7893320462195447,0.21066795378045533,0.7893320462195447,1.53,1.586206896551724,0.6304347826086957,0.158897263610849,1,5.300000000000001,5.86206896551724,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
279,1,YES,0.5,0.6434954869283069,0.35650451307169306,0.6434954869283069,1.63,1.6877637130801686,0.5925,0.05099548692830691,1,6.299999999999999,6.877637130801686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
281,1,YES,0.5,0.8525775058873312,0.14742249411266883,0.8525775058873312,1.46,1.508710801393728,0.6628175519630486,0.18975995392428258,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
283,1,YES,0.5,0.7453364387697342,0.2546635612302658,0.7453364387697342,1.51,1.5613382899628254,0.6404761904761904,0.10486024829354379,1,5.1,5.613382899628254,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
286,1,YES,0.5,0.7946371001177125,0.2053628998822875,0.7946371001177125,1.8,1.8695652173913044,0.5348837209302325,0.25975337918748,1,8.0,8.695652173913045,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
293,1,YES,0.5,0.6965622150376095,0.3034377849623905,0.6965622150376095,1.61,1.662551440329218,0.6014851485148515,0.09507706652275805,1,6.100000000000001,6.625514403292181,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
302,1,YES,0.5,0.7324939402608522,0.26750605973914776,0.7324939402608522,1.45,1.4965753424657535,0.6681922196796338,0.06430172058121841,1,4.5,4.965753424657535,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
305,1,YES,0.5,0.528666796169437,0.471333203830563,0.528666796169437,1.67,1.722943722943723,0.5804020100502513,-0.05173521388081426,1,6.699999999999999,7.22943722943723,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
313,1,YES,0.5,0.5068432976333934,0.4931567023666066,0.5068432976333934,1.34,1.3850574712643677,0.7219917012448133,-0.21514840361141985,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
318,1,YES,0.5,0.5773891512657449,0.42261084873425514,0.5773891512657449,1.39,1.4384858044164035,0.6951754385964913,-0.11778628733074648,1,3.899999999999999,4.3848580441640355,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
320,1,YES,0.5,0.582891084737085,0.41710891526291505,0.582891084737085,1.55,1.6007751937984493,0.6246973365617434,-0.04180625182465847,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
322,1,YES,0.5,0.7368651139105699,0.26313488608943014,0.7368651139105699,1.64,1.6978723404255323,0.5889724310776941,0.1478926828328757,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
330,1,YES,0.5,0.7870103355870859,0.21298966441291411,0.7870103355870859,1.8,1.861244019138756,0.5372750642673522,0.24973527131973372,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
333,1,YES,0.5,0.6268527190232457,0.3731472809767543,0.6268527190232457,1.76,1.8186046511627907,0.5498721227621484,0.07698059626109732,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
339,1,YES,0.5,0.8144896035501157,0.18551039644988432,0.8144896035501157,1.42,1.4686468646864685,0.6808988764044944,0.13359072714562126,1,4.199999999999999,4.686468646864686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
343,1,YES,0.5,0.5354931225992382,0.4645068774007618,0.5354931225992382,1.41,1.4563106796116505,0.6866666666666666,-0.15117354406742844,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
344,1,YES,0.5,0.5858170583495342,0.41418294165046576,0.5858170583495342,1.49,1.5418181818181818,0.6485849056603774,-0.06276784731084317,1,4.9,5.418181818181818,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
346,1,YES,0.5,0.7059752887590854,0.29402471124091456,0.7059752887590854,1.31,1.3559782608695652,0.7374749498997997,-0.03149966114071423,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
349,1,YES,0.5,0.6277868872554268,0.37221311274457325,0.6277868872554268,1.42,1.4671052631578945,0.6816143497757848,-0.05382746252035808,1,4.199999999999999,4.671052631578945,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
353,1,YES,0.5,0.5766151903790325,0.4233848096209675,0.5766151903790325,1.47,1.5231316725978647,0.6565420560747663,-0.07992686569573382,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
355,1,YES,0.5,0.6861779630253251,0.3138220369746749,0.6861779630253251,1.44,1.4864864864864866,0.6727272727272726,0.013450690298052459,1,4.3999999999999995,4.864864864864867,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
361,1,YES,0.5,0.6648822620454911,0.33511773795450894,0.6648822620454911,1.48,1.5304659498207887,0.6533957845433255,0.011486477502165582,1,4.8,5.3046594982078865,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
278,1,YES,0.55,0.7893320462195447,0.21066795378045533,0.7893320462195447,1.53,1.586206896551724,0.6304347826086957,0.158897263610849,1,5.300000000000001,5.86206896551724,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
279,1,YES,0.55,0.6434954869283069,0.35650451307169306,0.6434954869283069,1.63,1.6877637130801686,0.5925,0.05099548692830691,1,6.299999999999999,6.877637130801686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
281,1,YES,0.55,0.8525775058873312,0.14742249411266883,0.8525775058873312,1.46,1.508710801393728,0.6628175519630486,0.18975995392428258,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
283,1,YES,0.55,0.7453364387697342,0.2546635612302658,0.7453364387697342,1.51,1.5613382899628254,0.6404761904761904,0.10486024829354379,1,5.1,5.613382899628254,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
286,1,YES,0.55,0.7946371001177125,0.2053628998822875,0.7946371001177125,1.8,1.8695652173913044,0.5348837209302325,0.25975337918748,1,8.0,8.695652173913045,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
293,1,YES,0.55,0.6965622150376095,0.3034377849623905,0.6965622150376095,1.61,1.662551440329218,0.6014851485148515,0.09507706652275805,1,6.100000000000001,6.625514403292181,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
302,1,YES,0.55,0.7324939402608522,0.26750605973914776,0.7324939402608522,1.45,1.4965753424657535,0.6681922196796338,0.06430172058121841,1,4.5,4.965753424657535,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
318,1,YES,0.55,0.5773891512657449,0.42261084873425514,0.5773891512657449,1.39,1.4384858044164035,0.6951754385964913,-0.11778628733074648,1,3.899999999999999,4.3848580441640355,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
320,1,YES,0.55,0.582891084737085,0.41710891526291505,0.582891084737085,1.55,1.6007751937984493,0.6246973365617434,-0.04180625182465847,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
322,1,YES,0.55,0.7368651139105699,0.26313488608943014,0.7368651139105699,1.64,1.6978723404255323,0.5889724310776941,0.1478926828328757,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
330,1,YES,0.55,0.7870103355870859,0.21298966441291411,0.7870103355870859,1.8,1.861244019138756,0.5372750642673522,0.24973527131973372,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
333,1,YES,0.55,0.6268527190232457,0.3731472809767543,0.6268527190232457,1.76,1.8186046511627907,0.5498721227621484,0.07698059626109732,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
339,1,YES,0.55,0.8144896035501157,0.18551039644988432,0.8144896035501157,1.42,1.4686468646864685,0.6808988764044944,0.13359072714562126,1,4.199999999999999,4.686468646864686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
344,1,YES,0.55,0.5858170583495342,0.41418294165046576,0.5858170583495342,1.49,1.5418181818181818,0.6485849056603774,-0.06276784731084317,1,4.9,5.418181818181818,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
346,1,YES,0.55,0.7059752887590854,0.29402471124091456,0.7059752887590854,1.31,1.3559782608695652,0.7374749498997997,-0.03149966114071423,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
349,1,YES,0.55,0.6277868872554268,0.37221311274457325,0.6277868872554268,1.42,1.4671052631578945,0.6816143497757848,-0.05382746252035808,1,4.199999999999999,4.671052631578945,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
353,1,YES,0.55,0.5766151903790325,0.4233848096209675,0.5766151903790325,1.47,1.5231316725978647,0.6565420560747663,-0.07992686569573382,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
355,1,YES,0.55,0.6861779630253251,0.3138220369746749,0.6861779630253251,1.44,1.4864864864864866,0.6727272727272726,0.013450690298052459,1,4.3999999999999995,4.864864864864867,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
361,1,YES,0.55,0.6648822620454911,0.33511773795450894,0.6648822620454911,1.48,1.5304659498207887,0.6533957845433255,0.011486477502165582,1,4.8,5.3046594982078865,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
278,1,YES,0.6,0.7893320462195447,0.21066795378045533,0.7893320462195447,1.53,1.586206896551724,0.6304347826086957,0.158897263610849,1,5.300000000000001,5.86206896551724,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
279,1,YES,0.6,0.6434954869283069,0.35650451307169306,0.6434954869283069,1.63,1.6877637130801686,0.5925,0.05099548692830691,1,6.299999999999999,6.877637130801686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
281,1,YES,0.6,0.8525775058873312,0.14742249411266883,0.8525775058873312,1.46,1.508710801393728,0.6628175519630486,0.18975995392428258,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
283,1,YES,0.6,0.7453364387697342,0.2546635612302658,0.7453364387697342,1.51,1.5613382899628254,0.6404761904761904,0.10486024829354379,1,5.1,5.613382899628254,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
286,1,YES,0.6,0.7946371001177125,0.2053628998822875,0.7946371001177125,1.8,1.8695652173913044,0.5348837209302325,0.25975337918748,1,8.0,8.695652173913045,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
293,1,YES,0.6,0.6965622150376095,0.3034377849623905,0.6965622150376095,1.61,1.662551440329218,0.6014851485148515,0.09507706652275805,1,6.100000000000001,6.625514403292181,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
302,1,YES,0.6,0.7324939402608522,0.26750605973914776,0.7324939402608522,1.45,1.4965753424657535,0.6681922196796338,0.06430172058121841,1,4.5,4.965753424657535,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
322,1,YES,0.6,0.7368651139105699,0.26313488608943014,0.7368651139105699,1.64,1.6978723404255323,0.5889724310776941,0.1478926828328757,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
330,1,YES,0.6,0.7870103355870859,0.21298966441291411,0.7870103355870859,1.8,1.861244019138756,0.5372750642673522,0.24973527131973372,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
333,1,YES,0.6,0.6268527190232457,0.3731472809767543,0.6268527190232457,1.76,1.8186046511627907,0.5498721227621484,0.07698059626109732,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
339,1,YES,0.6,0.8144896035501157,0.18551039644988432,0.8144896035501157,1.42,1.4686468646864685,0.6808988764044944,0.13359072714562126,1,4.199999999999999,4.686468646864686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
346,1,YES,0.6,0.7059752887590854,0.29402471124091456,0.7059752887590854,1.31,1.3559782608695652,0.7374749498997997,-0.03149966114071423,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
349,1,YES,0.6,0.6277868872554268,0.37221311274457325,0.6277868872554268,1.42,1.4671052631578945,0.6816143497757848,-0.05382746252035808,1,4.199999999999999,4.671052631578945,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
355,1,YES,0.6,0.6861779630253251,0.3138220369746749,0.6861779630253251,1.44,1.4864864864864866,0.6727272727272726,0.013450690298052459,1,4.3999999999999995,4.864864864864867,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
361,1,YES,0.6,0.6648822620454911,0.33511773795450894,0.6648822620454911,1.48,1.5304659498207887,0.6533957845433255,0.011486477502165582,1,4.8,5.3046594982078865,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
278,1,YES,0.65,0.7893320462195447,0.21066795378045533,0.7893320462195447,1.53,1.586206896551724,0.6304347826086957,0.158897263610849,1,5.300000000000001,5.86206896551724,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
281,1,YES,0.65,0.8525775058873312,0.14742249411266883,0.8525775058873312,1.46,1.508710801393728,0.6628175519630486,0.18975995392428258,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
283,1,YES,0.65,0.7453364387697342,0.2546635612302658,0.7453364387697342,1.51,1.5613382899628254,0.6404761904761904,0.10486024829354379,1,5.1,5.613382899628254,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
286,1,YES,0.65,0.7946371001177125,0.2053628998822875,0.7946371001177125,1.8,1.8695652173913044,0.5348837209302325,0.25975337918748,1,8.0,8.695652173913045,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
293,1,YES,0.65,0.6965622150376095,0.3034377849623905,0.6965622150376095,1.61,1.662551440329218,0.6014851485148515,0.09507706652275805,1,6.100000000000001,6.625514403292181,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
