fold,phase,model,threshold,roi,roi_fair,n_bets,profit,profit_fair,wins,losses,total_staked,avg_edge,median_edge,train_start,train_end,test_start,test_end
4,Phase 1: Baseline,random_forest,0.6,-2.9687500000000004,0.3597380581402665,32,-9.500000000000002,1.1511617860488528,19,13,320.0,0.02314917998086338,0.02153032902673574,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 1: Baseline,random_forest,0.65,35.2,39.69319046884208,10,35.2,39.69319046884208,9,1,100.0,0.015407452434290458,0.023221385709670028,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,lightgbm,0.5,-0.5227272727272737,2.923056195902653,44,-2.3000000000000043,12.861447261971673,27,17,440.0,0.13928193111573037,0.17368285410983547,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,lightgbm,0.55,-2.0465116279069777,1.3581792247039521,43,-8.800000000000004,5.840170666226994,26,17,430.0,0.14453892300163798,0.17639930765493173,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,lightgbm,0.6,-0.02777777777777916,3.479510030673877,36,-0.10000000000000497,12.526236110425957,22,14,360.0,0.18468971544408344,0.1923588791228637,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,lightgbm,0.65,1.1874999999999996,4.728669761400319,32,3.799999999999999,15.131743236481018,20,12,320.0,0.20243826628319994,0.2122689541180695,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,xgboost,0.5,-3.647058823529413,-0.2896868123606225,51,-18.600000000000005,-1.4774027430391747,30,21,510.0,0.08849418509152705,0.0936001188614789,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,xgboost,0.55,-7.095238095238095,-3.869805684403862,42,-29.8,-16.25318387449622,24,18,420.0,0.1270069712266506,0.11942130679350899,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,xgboost,0.6,-5.999999999999999,-2.75230304319135,38,-22.799999999999997,-10.45875156412713,22,16,380.0,0.14391591194815959,0.1514598429511767,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,xgboost,0.65,-0.11764705882353109,3.339765271836756,34,-0.4000000000000057,11.35520192424497,21,13,340.0,0.15024280896788617,0.1552004394498303,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,catboost,0.5,-9.418181818181818,-6.234179918708057,55,-51.8,-34.28798955289432,30,25,550.0,0.09078460331917523,0.08327039244110013,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,catboost,0.55,-9.352941176470592,-6.176348794290501,51,-47.70000000000002,-31.499378850881556,28,23,510.0,0.10114633481795303,0.09500108371998595,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,catboost,0.6,-0.7999999999999995,2.6749347811049122,45,-3.599999999999998,12.037206514972105,27,18,450.0,0.11718748769044589,0.11540898829816904,2023-08-11,2024-12-07,2024-12-08,2025-02-03
4,Phase 2: Modern ML,catboost,0.65,8.777777777777777,12.547926741292247,36,31.599999999999998,45.172536268652095,24,12,360.0,0.1313905909461986,0.12741486334926017,2023-08-11,2024-12-07,2024-12-08,2025-02-03
5,Phase 1: Baseline,logistic,0.5,-11.176470588235297,-8.117322543734842,51,-57.000000000000014,-41.3983449730477,26,25,510.0,0.02298065331492034,0.02221842176779243,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,logistic,0.55,-6.0227272727272725,-2.7876630682304606,44,-26.5,-12.265717500214027,24,20,440.0,0.031204656378588946,0.031329985398345916,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,logistic,0.6,-0.903225806451612,2.5030084517140994,31,-2.799999999999997,7.7593262003137085,18,13,310.0,0.03965435298460182,0.03146615601572933,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,logistic,0.65,-26.333333333333332,-23.70772470018569,9,-23.699999999999996,-21.33695223016712,4,5,90.0,0.04358104214577983,0.031193814780962503,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,poisson,0.5,25.705882352941167,30.02406091567717,17,43.69999999999999,51.04090355665119,13,4,170.0,-0.0176625874444353,-0.0026466891423311267,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,poisson,0.55,27.307692307692307,31.7600115902483,13,35.5,41.28801506732279,10,3,130.0,0.023648995203056317,0.04752221491831121,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,poisson,0.6,9.44444444444444,13.295175344516569,9,8.499999999999996,11.965657810064911,6,3,90.0,0.045468884233907075,0.0543316426699868,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,poisson,0.65,-1.8333333333333357,1.482784713864625,6,-1.1000000000000014,0.8896708283187751,4,2,60.0,0.04021758374622795,0.05092692879414901,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,random_forest,0.5,-14.454545454545457,-11.508993529649029,44,-63.6,-50.639571530455726,22,22,440.0,0.016946291456846594,0.016311213467727403,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,random_forest,0.55,-6.257142857142858,-3.0100287402988704,35,-21.900000000000006,-10.535100591046046,19,16,350.0,0.03952447218998379,0.03014525759915465,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,random_forest,0.6,-18.159999999999997,-15.256453109290783,25,-45.39999999999999,-38.14113277322696,12,13,250.0,0.0649478674874207,0.041152068424759713,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 1: Baseline,random_forest,0.65,16.083333333333332,20.220276168947738,12,19.3,24.264331402737284,8,4,120.0,0.10326241046956697,0.08504996680064086,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,lightgbm,0.5,-20.38235294117647,-17.6071769698771,34,-69.3,-59.86440169758214,16,18,340.0,0.19875841200884795,0.18933007674699182,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,lightgbm,0.55,-24.129032258064516,-21.459764923483714,31,-74.8,-66.52527126279952,14,17,310.0,0.22136425224452502,0.19910245369661128,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,lightgbm,0.6,-28.133333333333333,-25.595683789170522,30,-84.39999999999999,-76.78705136751157,13,17,300.0,0.22625036753231417,0.2006130763468667,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,lightgbm,0.65,-34.857142857142854,-32.54422918216777,28,-97.6,-91.12384171006977,11,17,280.0,0.24113470027314013,0.2081472060113621,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,xgboost,0.5,-14.657894736842103,-11.686776041232642,38,-55.699999999999996,-44.40974895668404,19,19,380.0,0.1322050481253517,0.15031675132701153,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,xgboost,0.55,-16.35483870967742,-13.4101580422536,31,-50.7,-41.57148993098616,15,16,310.0,0.1874167989245427,0.1803530003966355,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,xgboost,0.6,-7.392857142857142,-4.1326749753522005,28,-20.7,-11.57148993098616,15,13,280.0,0.20905737916016748,0.18769965202776523,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,xgboost,0.65,-11.565217391304348,-8.445062530269727,23,-26.6,-19.423643819620374,12,11,230.0,0.2414780957653834,0.2118466644422382,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,catboost,0.5,-21.263157894736842,-18.522930656267818,38,-80.8,-70.3871364938177,18,20,380.0,0.12408662845444378,0.11469797800474507,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,catboost,0.55,-26.5625,-23.997122993148274,32,-85.0,-76.79079357807447,14,18,320.0,0.165452059033698,0.14979821875989963,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,catboost,0.6,-28.806451612903228,-26.31400073346021,31,-89.30000000000001,-81.57340227372666,13,18,310.0,0.17491029071250483,0.15852313131708684,2023-08-11,2025-01-20,2025-01-25,2025-03-16
5,Phase 2: Modern ML,catboost,0.65,-34.07142857142857,-31.740337733115027,28,-95.39999999999999,-88.87294565272208,11,17,280.0,0.18458691874707625,0.19053219633898688,2023-08-11,2025-01-20,2025-01-25,2025-03-16
6,Phase 1: Baseline,logistic,0.5,10.327586206896552,14.119064173346535,58,59.9,81.8905722054099,36,22,580.0,0.03445049678702111,0.027285699591661605,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,logistic,0.55,10.660714285714288,14.459223801159107,56,59.70000000000002,80.971653286491,35,21,560.0,0.03456358895636491,0.027285699591661605,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,logistic,0.6,9.931034482758621,13.751651789874986,29,28.799999999999997,39.87979019063746,18,11,290.0,0.056149011496718325,0.0658280041495819,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,logistic,0.65,110.99999999999999,119.20903954802262,1,11.099999999999998,11.920903954802263,1,0,10.0,0.1908455379851307,0.1908455379851307,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,poisson,0.5,45.0,50.02477657180391,21,94.5,105.0520308007882,17,4,210.0,0.048931545446865274,0.04752221491831121,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,poisson,0.55,67.56249999999999,73.3530896833613,16,108.1,117.36494349337809,15,1,160.0,0.07629958158683134,0.0786690888802386,2023-08-11,2025-02-27,2025-03-08,2025-05-05
