fold,match_id,side,p_yes,p_no,edge_yes,edge_no,chosen_side_prob,chosen_side_edge,decimal_odds_used,fair_odds_used,is_win,profit_raw,profit_fair,stake,train_start,train_end,test_start,test_end
1,278,YES,0.7893320462195447,0.21066795378045533,0.158897263610849,-0.15889726361084905,0.7893320462195447,0.158897263610849,1.53,1.586206896551724,1,5.300000000000001,5.86206896551724,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,279,YES,0.6434954869283069,0.35650451307169306,0.05099548692830691,-0.05099548692830691,0.6434954869283069,0.05099548692830691,1.63,1.6877637130801686,1,6.299999999999999,6.877637130801686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,281,YES,0.8525775058873312,0.14742249411266883,0.18975995392428258,-0.1897599539242827,0.8525775058873312,0.18975995392428258,1.46,1.508710801393728,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,283,YES,0.7453364387697342,0.2546635612302658,0.10486024829354379,-0.10486024829354373,0.7453364387697342,0.10486024829354379,1.51,1.5613382899628254,1,5.1,5.613382899628254,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,286,YES,0.7946371001177125,0.2053628998822875,0.25975337918748,-0.25975337918747987,0.7946371001177125,0.25975337918748,1.8,1.8695652173913044,1,8.0,8.695652173913045,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,291,NO,0.34098725151595505,0.6590127484840449,-0.28970819212912885,0.28970819212912885,0.6590127484840449,0.28970819212912885,2.63,2.707792207792208,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,292,NO,0.30892770137463244,0.6910722986253676,-0.2435019661445491,0.24350196614454916,0.6910722986253676,0.24350196614454916,2.16,2.2342857142857144,1,11.600000000000001,12.342857142857145,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,293,YES,0.6965622150376095,0.3034377849623905,0.09507706652275805,-0.09507706652275799,0.6965622150376095,0.09507706652275805,1.61,1.662551440329218,1,6.100000000000001,6.625514403292181,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,298,NO,0.16128420361399634,0.8387157963860037,-0.30383207545577107,0.3038320754557712,0.8387157963860037,0.3038320754557712,1.8,1.8695652173913044,1,8.0,8.695652173913045,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,299,NO,0.29552133210128106,0.7044786678987189,-0.35706082752313206,0.357060827523132,0.7044786678987189,0.357060827523132,2.78,2.8783783783783776,1,17.799999999999997,18.783783783783775,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,302,YES,0.7324939402608522,0.26750605973914776,0.06430172058121841,-0.0643017205812183,0.7324939402608522,0.06430172058121841,1.45,1.4965753424657535,1,4.5,4.965753424657535,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,303,NO,0.2582371369490532,0.7417628630509467,-0.37725446976557514,0.377254469765575,0.7417628630509467,0.377254469765575,2.65,2.7434210526315783,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,306,NO,0.22468548307615943,0.7753145169238406,-0.3413043646395766,0.3413043646395766,0.7753145169238406,0.3413043646395766,2.23,2.3040935672514617,1,12.3,13.040935672514617,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,322,YES,0.7368651139105699,0.26313488608943014,0.1478926828328757,-0.1478926828328756,0.7368651139105699,0.1478926828328757,1.64,1.6978723404255323,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,325,NO,0.09358470204303025,0.9064152979569697,-0.3665695396022139,0.36656953960221395,0.9064152979569697,0.36656953960221395,1.79,1.8523809523809525,1,7.9,8.523809523809526,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,329,NO,0.34809048293292266,0.6519095170670773,-0.2841210555286158,0.2841210555286158,0.6519095170670773,0.2841210555286158,2.63,2.7189542483660127,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,330,YES,0.7870103355870859,0.21298966441291411,0.24973527131973372,-0.24973527131973372,0.7870103355870859,0.24973527131973372,1.8,1.861244019138756,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,333,YES,0.6268527190232457,0.3731472809767543,0.07698059626109732,-0.07698059626109732,0.6268527190232457,0.07698059626109732,1.76,1.8186046511627907,0,-10.0,-10.0,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,335,NO,0.34346402276266247,0.6565359772373376,-0.21265842621692937,0.21265842621692943,0.6565359772373376,0.21265842621692943,2.18,2.2528735632183907,1,11.8,12.528735632183906,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,336,NO,0.33757540661766666,0.6624245933823334,-0.21967650177927994,0.2196765017792799,0.6624245933823334,0.2196765017792799,2.19,2.258620689655172,1,11.899999999999999,12.586206896551722,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,339,YES,0.8144896035501157,0.18551039644988432,0.13359072714562126,-0.1335907271456213,0.8144896035501157,0.13359072714562126,1.42,1.4686468646864685,1,4.199999999999999,4.686468646864686,10.0,2023-08-11,2024-03-11,2024-03-13,2024-05-11
