segment,key,total,wins,losses,profit,roi,avgOdds,modelBias,marketBias
by_line_bucket,3.5_over,810,357,453,-105.63,-0.1304,2.018,-0.894,-0.111
by_L10_shots_avg,shotsAvg_>=4_over,424,201,223,-55.49,-0.1309,1.877,-1.238,0.134
by_line_bucket,1.5_over,2494,1342,1152,-327.25,-0.1312,1.621,-0.381,0.353
by_last_game_shots,lastShots_0-1_over,1846,918,928,-244.07,-0.1322,1.78,-0.391,0.155
by_last_game_shots,lastShots_2-3_over,2859,1385,1474,-379.76,-0.1328,1.829,-0.545,0.153
by_dow,5_over,415,198,217,-55.81,-0.1345,1.825,-0.587,0.196
by_edge_bin,edge_0.5-1.0_over,2363,1160,1203,-318.54,-0.1348,1.791,-0.577,0.158
by_month,3_over,1942,938,1004,-266.67,-0.1373,1.825,-0.597,0.146
by_L10_shots_avg,shotsAvg_<2_over,1438,741,697,-201.4,-0.1401,1.688,-0.209,0.269
by_month,10_over,1472,706,766,-209.36,-0.1422,1.827,-0.604,0.124
by_dow,1_over,639,305,334,-91.04,-0.1425,1.843,-0.656,0.07
by_L10_toi,toi_>=18_over,4310,2024,2286,-615.62,-0.1428,1.866,-0.758,0.076
by_dow,0_over,648,312,336,-93.45,-0.1442,1.83,-0.552,0.187
by_dow,4_over,1426,673,753,-225.66,-0.1582,1.826,-0.683,0.059
by_books_count,books_2-3_over,986,463,523,-159.13,-0.1614,1.809,-0.513,0.151
by_dow,3_over,446,205,241,-75.48,-0.1692,1.843,-0.651,0.061
