player,date,side,line,oddsDec,pCal,stake,won,profit_pred_only,edge_abs,lastShots,L10_toi,books,lineStd
John Carlson,2024-03-16,under,1.9285714285714286,2.300,0.585,0.146,0,0.3459,0.081,2,24.51,7,0.495
Tom Wilson,2024-03-18,under,1.75,2.200,0.585,0.132,0,0.2874,0.048,1,17.20,8,0.433
Eeli Tolvanen,2024-03-18,under,2.25,2.500,0.585,0.170,1,0.4629,0.114,0,15.00,8,0.433
Jack Hughes,2024-03-19,under,3.6666666666666665,2.400,0.613,0.185,0,0.4710,0.421,3,21.86,6,0.373
Trevor Moore,2024-03-19,under,3.1666666666666665,2.350,0.585,0.153,1,0.3752,0.017,3,17.86,6,0.471
Mason McTavish,2024-03-21,under,1.7857142857142858,2.460,0.613,0.191,1,0.5077,0.241,0,16.26,7,0.452
Philipp Kurashev,2024-03-21,under,2.2142857142857144,2.500,0.585,0.170,1,0.4629,0.054,1,19.77,7,0.452
Eeli Tolvanen,2024-03-22,under,2.1666666666666665,2.500,0.613,0.195,1,0.5323,0.239,3,16.10,6,0.471
Anders Lee,2024-03-23,under,2.25,2.500,0.613,0.195,0,0.5323,0.450,0,15.69,8,0.433
Rasmus Andersson,2024-03-26,under,1.8333333333333333,2.150,0.585,0.123,0,0.2581,0.111,1,23.38,6,0.471
Nick Suzuki,2024-03-26,under,2.2142857142857144,2.500,0.585,0.170,0,0.4629,0.056,1,21.54,7,0.452
Jared McCann,2024-03-26,under,3.1666666666666665,2.500,0.585,0.170,1,0.4629,0.040,4,16.61,6,0.471
Evander Kane,2024-03-30,under,2.9,2.000,0.613,0.124,1,0.2258,0.282,1,15.32,5,0.490
Rickard Rakell,2024-04-02,under,1.75,2.450,0.500,0.085,0,0.2250,0.001,0,14.21,8,0.433
Mikael Backlund,2024-04-02,under,3.25,2.350,0.613,0.179,1,0.4403,0.323,4,19.87,8,0.433
Brandon Hagel,2024-04-03,under,1.75,2.460,0.585,0.166,1,0.4395,0.017,0,18.85,8,0.433
Brandon Hagel,2024-04-04,under,1.8333333333333333,2.450,0.585,0.164,0,0.4337,0.114,1,18.90,6,0.471
Brandon Hagel,2024-04-06,under,2.2142857142857144,2.400,0.585,0.159,1,0.4044,0.021,5,18.61,7,0.452
Matthew Tkachuk,2024-04-06,under,2.7857142857142856,2.200,0.585,0.132,0,0.2874,0.012,1,17.83,7,0.452
Mark Scheifele,2024-04-06,under,2.2142857142857144,2.500,0.585,0.170,1,0.4629,0.096,1,20.54,7,0.452
Erik Haula,2024-04-06,under,2.2142857142857144,2.400,0.585,0.159,0,0.4044,0.040,0,19.02,7,0.452
Rickard Rakell,2024-04-08,under,1.7857142857142858,2.310,0.585,0.148,0,0.3518,0.100,1,14.99,7,0.452
Sidney Crosby,2024-04-11,under,3.1666666666666665,2.500,0.613,0.195,0,0.5323,0.827,1,19.87,6,0.471
Jesper Bratt,2024-04-11,under,3.1666666666666665,2.250,0.585,0.139,1,0.3166,0.128,3,19.88,6,0.471
Jordan Eberle,2024-04-14,under,2.2142857142857144,2.500,0.585,0.170,1,0.4629,0.041,2,17.46,7,0.452
Dylan Cozens,2024-04-15,under,1.7857142857142858,2.360,0.613,0.181,0,0.4465,0.198,0,16.49,7,0.452
Mike Matheson,2024-04-15,under,2.357142857142857,2.540,0.613,0.199,1,0.5568,0.323,2,25.70,7,0.350
