date,home,away,home_score,away_score,btts,total_goals,season
2020-11-21,Arminia Bielefeld,(0-1)  Bayer 04 Leverkusen,1,2,1,3,2020-21
2020-11-21,TSG 1899 Hoffenheim,(1-2)  VfB Stuttgart,3,3,1,6,2020-21
2020-11-21,Borussia Mönchengladbach,(1-0)  FC Augsburg,1,1,1,2,2020-21
2020-11-21,15.30  FC Schalke 04,(0-2)  VfL Wolfsburg,0,2,0,2,2020-21
2020-11-21,FC Bayern München,(0-1)  SV Werder Bremen,1,1,1,2,2020-21
2020-11-22,15.30  SC Freiburg,(0-3)  1. FSV Mainz 05,1,3,1,4,2020-21
2020-11-22,18.00  1. FC Köln,(1-1)  1. FC Union Berlin,1,2,1,3,2020-21
2020-11-27,20.30  VfL Wolfsburg,(3-2)  SV Werder Bremen,5,3,1,8,2020-21
2020-11-28,RB Leipzig,(1-0)  Arminia Bielefeld,2,1,1,3,2020-21
2020-11-28,18.30  Borussia Mönchengladbach,(2-1)  FC Schalke 04,4,1,1,5,2020-21
2020-11-28,1. FC Union Berlin,(2-2)  Eintracht Frankfurt,3,3,1,6,2020-21
2020-11-28,VfB Stuttgart,(1-2)  FC Bayern München,1,3,1,4,2020-21
2020-11-28,FC Augsburg,(0-0)  SC Freiburg,1,1,1,2,2020-21
2020-11-28,15.30  Borussia Dortmund,(0-1)  1. FC Köln,1,2,1,3,2020-21
2020-11-29,15.30  Bayer 04 Leverkusen,Hertha BSC,0,0,0,0,2020-21
2020-11-29,18.00  1. FSV Mainz 05,(1-0)  TSG 1899 Hoffenheim,1,1,1,2,2020-21
2020-12-04,20.30  Hertha BSC,(0-1)  1. FC Union Berlin,3,1,1,4,2020-21
2020-12-05,18.30  FC Bayern München,(2-2)  RB Leipzig,3,3,1,6,2020-21
2020-12-05,Arminia Bielefeld,(2-0)  1. FSV Mainz 05,2,1,1,3,2020-21
2020-12-05,SC Freiburg,(1-1)  Borussia Mönchengladbach,2,2,1,4,2020-21
2020-12-05,15.30  1. FC Köln,(2-1)  VfL Wolfsburg,2,2,1,4,2020-21
2020-12-05,Eintracht Frankfurt,(1-0)  Borussia Dortmund,1,1,1,2,2020-21
2020-12-06,15.30  SV Werder Bremen,(0-1)  VfB Stuttgart,1,2,1,3,2020-21
2020-12-06,18.00  FC Schalke 04,(0-1)  Bayer 04 Leverkusen,0,3,0,3,2020-21
2020-12-07,20.30  TSG 1899 Hoffenheim,(1-1)  FC Augsburg,3,1,1,4,2020-21
2020-12-11,20.30  VfL Wolfsburg,(0-0)  Eintracht Frankfurt,2,1,1,3,2020-21
2020-12-12,RB Leipzig,(2-0)  SV Werder Bremen,2,0,0,2,2020-21
2020-12-12,18.30  1. FC Union Berlin,(1-0)  FC Bayern München,1,1,1,2,2020-21
2020-12-12,1. FSV Mainz 05,(0-0)  1. FC Köln,0,1,0,1,2020-21
2020-12-12,SC Freiburg,(0-0)  Arminia Bielefeld,2,0,0,2,2020-21
2020-12-12,Borussia Mönchengladbach,(0-0)  Hertha BSC,1,1,1,2,2020-21
2020-12-12,15.30  Borussia Dortmund,(1-1)  VfB Stuttgart,1,5,1,6,2020-21
2020-12-13,15.30  FC Augsburg,(1-0)  FC Schalke 04,2,2,1,4,2020-21
2020-12-13,18.00  Bayer 04 Leverkusen,(2-0)  TSG 1899 Hoffenheim,4,1,1,5,2020-21
2020-12-15,18.30  Eintracht Frankfurt,(3-1)  Borussia Mönchengladbach,3,3,1,6,2020-21
2020-12-15,20.30  SV Werder Bremen,(1-1)  Borussia Dortmund,1,2,1,3,2020-21
2020-12-15,Hertha BSC,1. FSV Mainz 05,0,0,0,0,2020-21
2020-12-15,VfB Stuttgart,(0-1)  1. FC Union Berlin,2,2,1,4,2020-21
2020-12-16,18.30  FC Schalke 04,(0-0)  SC Freiburg,0,2,0,2,2020-21
2020-12-16,20.30  FC Bayern München,(1-1)  VfL Wolfsburg,2,1,1,3,2020-21
