date,home,away,home_score,away_score,btts,total_goals,season
2020-11-08,20.45  AC Milan,(1-2)  Hellas Verona FC,2,2,1,4,2020-21
2020-11-21,20.45  Juventus FC,(2-0)  Cagliari Calcio,2,0,0,2,2020-21
2020-11-21,15.00  FC Crotone,(0-1)  SS Lazio,0,2,0,2,2020-21
2020-11-21,18.00  Spezia Calcio,Atalanta BC,0,0,0,0,2020-21
2020-11-22,12.30  ACF Fiorentina,(0-0)  Benevento Calcio,0,1,0,1,2020-21
2020-11-22,15.00  FC Internazionale Milano,(0-1)  Torino FC,4,2,1,6,2020-21
2020-11-22,AS Roma,(3-0)  Parma Calcio 1913,3,0,0,3,2020-21
2020-11-22,UC Sampdoria,(1-1)  Bologna FC 1909,1,2,1,3,2020-21
2020-11-22,Hellas Verona FC,(0-1)  US Sassuolo Calcio,0,2,0,2,2020-21
2020-11-22,18.00  Udinese Calcio,(1-0)  Genoa CFC,1,0,0,1,2020-21
2020-11-22,20.45  SSC Napoli,(0-1)  AC Milan,1,3,1,4,2020-21
2020-11-28,20.45  Atalanta BC,(0-0)  Hellas Verona FC,0,2,0,2,2020-21
2020-11-28,15.00  US Sassuolo Calcio,(0-2)  FC Internazionale Milano,0,3,0,3,2020-21
2020-11-28,18.00  Benevento Calcio,(1-1)  Juventus FC,1,1,1,2,2020-21
2020-11-29,20.45  SSC Napoli,(1-0)  AS Roma,4,0,0,4,2020-21
2020-11-29,18.00  Cagliari Calcio,(0-1)  Spezia Calcio,2,2,1,4,2020-21
2020-11-29,12.30  SS Lazio,(0-2)  Udinese Calcio,1,3,1,4,2020-21
2020-11-29,15.00  AC Milan,(2-0)  ACF Fiorentina,2,0,0,2,2020-21
2020-11-29,Bologna FC 1909,(1-0)  FC Crotone,1,0,0,1,2020-21
2020-11-30,18.30  Torino FC,(1-0)  UC Sampdoria,2,2,1,4,2020-21
2020-11-30,20.45  Genoa CFC,(0-1)  Parma Calcio 1913,1,2,1,3,2020-21
2020-12-05,18.00  Juventus FC,(0-1)  Torino FC,2,1,1,3,2020-21
2020-12-05,15.00  Spezia Calcio,(0-2)  SS Lazio,1,2,1,3,2020-21
2020-12-05,20.45  FC Internazionale Milano,(2-0)  Bologna FC 1909,3,1,1,4,2020-21
2020-12-06,20.45  UC Sampdoria,(0-1)  AC Milan,1,2,1,3,2020-21
2020-12-06,18.00  FC Crotone,(0-1)  SSC Napoli,0,4,0,4,2020-21
2020-12-06,12.30  Hellas Verona FC,(1-0)  Cagliari Calcio,1,1,1,2,2020-21
2020-12-06,15.00  AS Roma,US Sassuolo Calcio,0,0,0,0,2020-21
2020-12-06,Parma Calcio 1913,Benevento Calcio,0,0,0,0,2020-21
2020-12-07,20.45  ACF Fiorentina,(0-0)  Genoa CFC,1,1,1,2,2020-21
2020-12-11,20.45  US Sassuolo Calcio,(1-0)  Benevento Calcio,1,0,0,1,2020-21
2020-12-12,15.00  FC Crotone,(1-1)  Spezia Calcio,4,1,1,5,2020-21
2020-12-12,18.00  Torino FC,(0-1)  Udinese Calcio,2,3,1,5,2020-21
2020-12-12,20.45  SS Lazio,(0-1)  Hellas Verona FC,1,2,1,3,2020-21
2020-12-13,20.45  AC Milan,(0-1)  Parma Calcio 1913,2,2,1,4,2020-21
